tissue	ensembl	gene_symbol	clust
MAM	ENSG00000266714	MYO15B	1
MAM	ENSG00000187609	EXD3	1
MAM	ENSG00000213397	HAUS7	1
MAM	ENSG00000136807	CDK9	1
MAM	ENSG00000128159	TUBGCP6	1
MAM	ENSG00000161647	MPP3	1
MAM	ENSG00000171163	ZNF692	1
MAM	ENSG00000177133	LINC00982	1
MAM	ENSG00000108773	KAT2A	1
MAM	ENSG00000197182	MIRLET7BHG	1
MAM	ENSG00000235954	TTC28-AS1	1
MAM	ENSG00000229180	GS1-124K5.11	1
MAM	ENSG00000135502	SLC26A10	1
MAM	ENSG00000204681	GABBR1	1
MAM	ENSG00000099326	MZF1	1
MAM	ENSG00000168010	ATG16L2	1
MAM	ENSG00000158286	RNF207	1
MAM	ENSG00000197948	FCHSD1	1
MAM	ENSG00000237441	RGL2	1
MAM	ENSG00000215041	NEURL4	1
MAM	ENSG00000135835	KIAA1614	1
MAM	ENSG00000204946	ZNF783	1
MAM	ENSG00000167702	KIFC2	1
MAM	ENSG00000172432	GTPBP2	1
MAM	ENSG00000138834	MAPK8IP3	1
MAM	ENSG00000142102	ATHL1	1
MAM	ENSG00000132635	PCED1A	1
MAM	ENSG00000122678	POLM	1
MAM	ENSG00000080189	SLC35C2	1
MAM	ENSG00000155363	MOV10	1
MAM	ENSG00000061938	TNK2	1
MAM	ENSG00000160796	NBEAL2	1
MAM	ENSG00000124574	ABCC10	1
MAM	ENSG00000113108	APBB3	1
MAM	ENSG00000145029	NICN1	1
MAM	ENSG00000167280	ENGASE	1
MAM	ENSG00000180902	D2HGDH	1
MAM	ENSG00000231793	DOC2GP	1
MAM	ENSG00000005379	BZRAP1	1
MAM	ENSG00000213398	LCAT	1
MAM	ENSG00000214176	PLEKHM1P	1
MAM	ENSG00000142303	ADAMTS10	1
MAM	ENSG00000104852	SNRNP70	1
MAM	ENSG00000158805	ZNF276	1
MAM	ENSG00000005206	SPPL2B	1
MAM	ENSG00000184381	PLA2G6	1
MAM	ENSG00000051009	FAM160A2	1
MAM	ENSG00000175309	PHYKPL	1
MAM	ENSG00000146067	FAM193B	1
MAM	ENSG00000162341	TPCN2	1
MAM	ENSG00000130669	PAK4	1
MAM	ENSG00000132793	LPIN3	1
MAM	ENSG00000196187	TMEM63A	1
MAM	ENSG00000103168	TAF1C	1
MAM	ENSG00000185189	NRBP2	1
MAM	ENSG00000197774	EME2	1
MAM	ENSG00000178038	ALS2CL	1
MAM	ENSG00000213339	QTRT1	1
MAM	ENSG00000146830	GIGYF1	1
MAM	ENSG00000126456	IRF3	1
MAM	ENSG00000225032	RP11-228B15.4	1
MAM	ENSG00000114735	HEMK1	1
MAM	ENSG00000114841	DNAH1	1
MAM	ENSG00000106948	AKNA	1
MAM	ENSG00000169592	INO80E	1
MAM	ENSG00000106133	NSUN5P2	1
MAM	ENSG00000131067	GGT7	1
MAM	ENSG00000223705	NSUN5P1	1
MAM	ENSG00000197119	SLC25A29	1
MAM	ENSG00000119688	ABCD4	1
MAM	ENSG00000148399	DPH7	1
MAM	ENSG00000102901	CENPT	1
MAM	ENSG00000178188	SH2B1	1
MAM	ENSG00000110455	ACCS	1
MAM	ENSG00000010322	NISCH	1
MAM	ENSG00000171853	TRAPPC12	1
MAM	ENSG00000149532	CPSF7	1
MAM	ENSG00000152117	AC093838.4	1
MAM	ENSG00000198026	ZNF335	1
MAM	ENSG00000127054	CPSF3L	1
MAM	ENSG00000139636	LMBR1L	1
