tissue	ensembl	gene_symbol	clust
AOR	ENSG00000047621	C12orf4	24
AOR	ENSG00000162695	SLC30A7	24
AOR	ENSG00000102218	RP2	24
AOR	ENSG00000120526	NUDCD1	24
AOR	ENSG00000065135	GNAI3	24
AOR	ENSG00000118217	ATF6	24
AOR	ENSG00000148154	UGCG	24
AOR	ENSG00000145779	TNFAIP8	24
AOR	ENSG00000106392	C1GALT1	24
AOR	ENSG00000005020	SKAP2	24
AOR	ENSG00000142166	IFNAR1	24
AOR	ENSG00000104044	OCA2	24
AOR	ENSG00000101974	ATP11C	24
AOR	ENSG00000082996	RNF13	24
AOR	ENSG00000110330	BIRC2	24
AOR	ENSG00000081320	STK17B	24
AOR	ENSG00000119314	PTBP3	24
AOR	ENSG00000197565	COL4A6	24
AOR	ENSG00000137845	ADAM10	24
AOR	ENSG00000151151	IPMK	24
AOR	ENSG00000027697	IFNGR1	24
AOR	ENSG00000180530	NRIP1	24
AOR	ENSG00000114573	ATP6V1A	24
AOR	ENSG00000137575	SDCBP	24
AOR	ENSG00000163565	IFI16	24
AOR	ENSG00000213047	DENND1B	24
AOR	ENSG00000145860	RNF145	24
AOR	ENSG00000139687	RB1	24
AOR	ENSG00000172716	SLFN11	24
AOR	ENSG00000158985	CDC42SE2	24
AOR	ENSG00000132357	CARD6	24
AOR	ENSG00000103642	LACTB	24
AOR	ENSG00000136560	TANK	24
AOR	ENSG00000198833	UBE2J1	24
AOR	ENSG00000002549	LAP3	24
AOR	ENSG00000156273	BACH1	24
AOR	ENSG00000139163	ETNK1	24
AOR	ENSG00000091317	CMTM6	24
AOR	ENSG00000177189	RPS6KA3	24
AOR	ENSG00000143549	TPM3	24
AOR	ENSG00000123213	NLN	24
AOR	ENSG00000138594	TMOD3	24
AOR	ENSG00000188313	PLSCR1	24
AOR	ENSG00000182287	AP1S2	24
AOR	ENSG00000114346	ECT2	24
AOR	ENSG00000111817	DSE	24
AOR	ENSG00000143924	EML4	24
AOR	ENSG00000143622	RIT1	24
AOR	ENSG00000169515	CCDC8	24
AOR	ENSG00000005059	CCDC109B	24
AOR	ENSG00000182985	CADM1	24
AOR	ENSG00000134996	OSTF1	24
AOR	ENSG00000115159	GPD2	24
AOR	ENSG00000119403	PHF19	24
AOR	ENSG00000146376	ARHGAP18	24
AOR	ENSG00000197321	SVIL	24
AOR	ENSG00000120063	GNA13	24
AOR	ENSG00000187720	THSD4	24
AOR	ENSG00000119900	OGFRL1	24
AOR	ENSG00000112531	QKI	24
AOR	ENSG00000184677	ZBTB40	24
AOR	ENSG00000176853	FAM91A1	24
AOR	ENSG00000116489	CAPZA1	24
AOR	ENSG00000117500	TMED5	24
AOR	ENSG00000213341	CHUK	24
AOR	ENSG00000172175	MALT1	24
AOR	ENSG00000155097	ATP6V1C1	24
AOR	ENSG00000135272	MDFIC	24
AOR	ENSG00000146122	DAAM2	24
AOR	ENSG00000112308	C6orf62	24
AOR	ENSG00000097046	CDC7	24
AOR	ENSG00000144909	OSBPL11	24
AOR	ENSG00000145945	FAM50B	24
AOR	ENSG00000196954	CASP4	24
AOR	ENSG00000172795	DCP2	24
AOR	ENSG00000197930	ERO1A	24
AOR	ENSG00000166128	RAB8B	24
AOR	ENSG00000067955	CBFB	24
AOR	ENSG00000196072	BLOC1S2	24
AOR	ENSG00000006451	RALA	24
