tissue	ensembl	gene_symbol	clust
BLOOD	ENSG00000127184	COX7C	216
BLOOD	ENSG00000227008	RP3-417G15.1	216
BLOOD	ENSG00000147687	TATDN1	216
BLOOD	ENSG00000114942	EEF1B2	216
BLOOD	ENSG00000129562	DAD1	216
BLOOD	ENSG00000204387	C6orf48	216
BLOOD	ENSG00000134419	RPS15A	216
BLOOD	ENSG00000198242	RPL23A	216
BLOOD	ENSG00000175061	LRRC75A-AS1	216
BLOOD	ENSG00000132661	NXT1	216
BLOOD	ENSG00000111843	TMEM14C	216
BLOOD	ENSG00000167088	SNRPD1	216
BLOOD	ENSG00000146677	AC004453.8	216
BLOOD	ENSG00000198937	CCDC167	216
BLOOD	ENSG00000163584	RPL22L1	216
BLOOD	ENSG00000203875	SNHG5	216
BLOOD	ENSG00000254999	BRK1	216
BLOOD	ENSG00000198034	RPS4X	216
BLOOD	ENSG00000164587	RPS14	216
BLOOD	ENSG00000165502	RPL36AL	216
BLOOD	ENSG00000118181	RPS25	216
BLOOD	ENSG00000166295	ANAPC16	216
BLOOD	ENSG00000180211	RP1-278E11.3	216
BLOOD	ENSG00000196683	TOMM7	216
BLOOD	ENSG00000214113	LYRM4	216
BLOOD	ENSG00000152234	ATP5A1	216
BLOOD	ENSG00000121774	KHDRBS1	216
BLOOD	ENSG00000168653	NDUFS5	216
BLOOD	ENSG00000138326	RPS24	216
BLOOD	ENSG00000231500	RPS18	216
BLOOD	ENSG00000170860	LSM3	216
BLOOD	ENSG00000250317	SMIM20	216
BLOOD	ENSG00000125691	RPL23	216
BLOOD	ENSG00000136888	ATP6V1G1	216
BLOOD	ENSG00000182004	SNRPE	216
BLOOD	ENSG00000174173	TRMT10C	216
BLOOD	ENSG00000133639	BTG1	216
BLOOD	ENSG00000137154	RPS6	216
BLOOD	ENSG00000180817	PPA1	216
BLOOD	ENSG00000197756	RPL37A	216
BLOOD	ENSG00000283041	RP11-371A22.1	216
BLOOD	ENSG00000182899	RPL35A	216
BLOOD	ENSG00000109475	RPL34	216
BLOOD	ENSG00000244398	RP11-466H18.1	216
BLOOD	ENSG00000188612	SUMO2	216
BLOOD	ENSG00000089289	IGBP1	216
BLOOD	ENSG00000147677	EIF3H	216
BLOOD	ENSG00000175390	EIF3F	216
BLOOD	ENSG00000164346	NSA2	216
BLOOD	ENSG00000175581	MRPL48	216
BLOOD	ENSG00000142676	RPL11	216
BLOOD	ENSG00000111775	COX6A1	216
BLOOD	ENSG00000173674	EIF1AX	216
BLOOD	ENSG00000007202	KIAA0100	216
BLOOD	ENSG00000116459	ATP5F1	216
BLOOD	ENSG00000070756	PABPC1	216
BLOOD	ENSG00000143947	RPS27A	216
BLOOD	ENSG00000100478	AP4S1	216
BLOOD	ENSG00000215021	PHB2	216
BLOOD	ENSG00000126756	UXT	216
BLOOD	ENSG00000111832	RWDD1	216
BLOOD	ENSG00000136710	CCDC115	216
BLOOD	ENSG00000174748	RPL15	216
BLOOD	ENSG00000100353	EIF3D	216
BLOOD	ENSG00000005059	CCDC109B	216
BLOOD	ENSG00000164758	MED30	216
BLOOD	ENSG00000179010	MRFAP1	216
BLOOD	ENSG00000198793	MTOR	216
BLOOD	ENSG00000144713	RPL32	216
BLOOD	ENSG00000164615	CAMLG	216
BLOOD	ENSG00000141068	KSR1	216
BLOOD	ENSG00000143222	UFC1	216
BLOOD	ENSG00000122705	CLTA	216
BLOOD	ENSG00000149273	RPS3	216
BLOOD	ENSG00000245910	SNHG6	216
BLOOD	ENSG00000106355	LSM5	216
BLOOD	ENSG00000171490	RSL1D1	216
BLOOD	ENSG00000071082	RPL31	216
BLOOD	ENSG00000163597	SNHG16	216
BLOOD	ENSG00000173915	USMG5	216
BLOOD	ENSG00000215030	RPL13P12	216
BLOOD	ENSG00000224877	C17orf89	216
BLOOD	ENSG00000204308	RNF5	216
BLOOD	ENSG00000171530	TBCA	216
BLOOD	ENSG00000104408	EIF3E	216
BLOOD	ENSG00000116251	RPL22	216
BLOOD	ENSG00000040933	INPP4A	216
BLOOD	ENSG00000111906	HDDC2	216
BLOOD	ENSG00000089057	SLC23A2	216
BLOOD	ENSG00000134597	RBMX2	216
BLOOD	ENSG00000136930	PSMB7	216
BLOOD	ENSG00000115350	POLE4	216
BLOOD	ENSG00000213928	IRF9	216
BLOOD	ENSG00000125743	SNRPD2	216
BLOOD	ENSG00000168028	RPSA	216
BLOOD	ENSG00000164919	COX6C	216
BLOOD	ENSG00000131469	RPL27	216
BLOOD	ENSG00000169442	CD52	216
BLOOD	ENSG00000108561	C1QBP	216
BLOOD	ENSG00000186468	RPS23	216
BLOOD	ENSG00000180964	TCEAL8	216
BLOOD	ENSG00000232472	EEF1B2P3	216
BLOOD	ENSG00000142168	SOD1	216
BLOOD	ENSG00000137876	RSL24D1	216
BLOOD	ENSG00000145592	RPL37	216
BLOOD	ENSG00000169567	HINT1	216
BLOOD	ENSG00000135972	MRPS9	216
BLOOD	ENSG00000109111	SUPT6H	216
BLOOD	ENSG00000115944	COX7A2L	216
BLOOD	ENSG00000165629	ATP5C1	216
BLOOD	ENSG00000100814	CCNB1IP1	216
BLOOD	ENSG00000117543	DPH5	216
BLOOD	ENSG00000234742	AC144530.1	216
BLOOD	ENSG00000129566	TEP1	216
BLOOD	ENSG00000131174	COX7B	216
BLOOD	ENSG00000090263	MRPS33	216
BLOOD	ENSG00000196531	NACA	216
BLOOD	ENSG00000100575	TIMM9	216
BLOOD	ENSG00000255529	POLR2M	216
BLOOD	ENSG00000166441	RPL27A	216
BLOOD	ENSG00000112695	COX7A2	216
BLOOD	ENSG00000242299	RP11-234A1.1	216
BLOOD	ENSG00000198839	ZNF277	216
BLOOD	ENSG00000143420	ENSA	216
BLOOD	ENSG00000089009	RPL6	216
BLOOD	ENSG00000114125	RNF7	216
BLOOD	ENSG00000198918	RPL39	216
BLOOD	ENSG00000232858	RPL34P27	216
BLOOD	ENSG00000214389	RPS3AP26	216
BLOOD	ENSG00000234335	RPS4XP11	216
BLOOD	ENSG00000270702	RP11-107F6.4	216
BLOOD	ENSG00000178429	RPS3AP5	216
