tissue	ensembl	gene_symbol	clust
BLOOD	ENSG00000173141	MRPL57	216
BLOOD	ENSG00000110700	RPS13	216
BLOOD	ENSG00000181163	NPM1	216
BLOOD	ENSG00000234741	GAS5	216
BLOOD	ENSG00000114391	RPL24	216
BLOOD	ENSG00000115541	HSPE1	216
BLOOD	ENSG00000198258	UBL5	216
BLOOD	ENSG00000225921	NOL7	216
BLOOD	ENSG00000255302	EID1	216
BLOOD	ENSG00000161970	RPL26	216
BLOOD	ENSG00000188626	GOLGA8M	216
BLOOD	ENSG00000063046	EIF4B	216
BLOOD	ENSG00000185088	RPS27L	216
BLOOD	ENSG00000111639	MRPL51	216
BLOOD	ENSG00000271327	RP11-1109F11.3	216
BLOOD	ENSG00000172809	RPL38	216
BLOOD	ENSG00000150459	SAP18	216
BLOOD	ENSG00000188846	RPL14	216
BLOOD	ENSG00000122406	RPL5	216
BLOOD	ENSG00000113387	SUB1	216
BLOOD	ENSG00000156482	RPL30	216
BLOOD	ENSG00000185722	ANKFY1	216
BLOOD	ENSG00000213741	RPS29	216
BLOOD	ENSG00000188243	COMMD6	216
BLOOD	ENSG00000139168	ZCRB1	216
BLOOD	ENSG00000053372	MRTO4	216
BLOOD	ENSG00000150779	TIMM8B	216
BLOOD	ENSG00000105202	FBL	216
BLOOD	ENSG00000132432	SEC61G	216
BLOOD	ENSG00000132341	RAN	216
BLOOD	ENSG00000122034	GTF3A	216
BLOOD	ENSG00000182774	RPS17	216
BLOOD	ENSG00000173726	TOMM20	216
BLOOD	ENSG00000114023	FAM162A	216
BLOOD	ENSG00000167283	ATP5L	216
BLOOD	ENSG00000074356	NCBP3	216
BLOOD	ENSG00000084623	EIF3I	216
BLOOD	ENSG00000211460	TSN	216
BLOOD	ENSG00000169599	NFU1	216
BLOOD	ENSG00000183530	PRR14L	216
BLOOD	ENSG00000115484	CCT4	216
BLOOD	ENSG00000072121	ZFYVE26	216
BLOOD	ENSG00000232573	RPL3P4	216
