tissue	ensembl	gene_symbol	clust
AOR	ENSG00000204644	ZFP57	14
AOR	ENSG00000236850	BMS1P20	14
AOR	ENSG00000230438	SERPINB9P1	14
BLOOD	ENSG00000263235	RP11-461A8.4	14
BLOOD	ENSG00000153707	PTPRD	14
BLOOD	ENSG00000136098	NEK3	14
BLOOD	ENSG00000264920	RP11-6N17.4	14
BLOOD	ENSG00000259343	TMC3-AS1	14
BLOOD	ENSG00000180592	SKIDA1	14
BLOOD	ENSG00000229994	RPL5P4	14
BLOOD	ENSG00000145362	ANK2	14
BLOOD	ENSG00000137731	FXYD2	14
BLOOD	ENSG00000085382	HACE1	14
BLOOD	ENSG00000272841	RP3-428L16.2	14
BLOOD	ENSG00000272368	RP4-605O3.4	14
BLOOD	ENSG00000238058	RP11-432J22.2	14
BLOOD	ENSG00000240401	AC012358.8	14
BLOOD	ENSG00000268225	CTD-2331H12.5	14
BLOOD	ENSG00000227908	FLJ31104	14
BLOOD	ENSG00000261798	RP1-118J21.25	14
BLOOD	ENSG00000166796	LDHC	14
BLOOD	ENSG00000228251	AC012442.6	14
BLOOD	ENSG00000132517	SLC52A1	14
BLOOD	ENSG00000270990	RP11-632K21.6	14
BLOOD	ENSG00000255221	CARD17	14
BLOOD	ENSG00000228834	RP11-249L21.4	14
LIV	ENSG00000196787	HIST1H2AG	14
LIV	ENSG00000234428	RP11-666F17.1	14
LIV	ENSG00000176681	LRRC37A	14
LIV	ENSG00000278974	RP11-756P10.6	14
LIV	ENSG00000203446	AC004988.1	14
LIV	ENSG00000228078	HLA-U	14
LIV	ENSG00000272182	RP11-802O23.3	14
LIV	ENSG00000228696	ARL17B	14
LIV	ENSG00000225762	LINC01389	14
LIV	ENSG00000278703	RP11-706P11.2	14
MAM	ENSG00000054793	ATP9A	14
MAM	ENSG00000243955	GSTA1	14
MAM	ENSG00000261239	ANKRD26P1	14
MAM	ENSG00000213889	PPM1N	14
MAM	ENSG00000271730	RP11-787I22.3	14
MAM	ENSG00000254352	RP11-578O24.2	14
MAM	ENSG00000215869	RP11-364B6.2	14
SF	ENSG00000139547	RDH16	14
SF	ENSG00000258900	HNRNPCP1	14
SF	ENSG00000278784	RP11-468E2.11	14
SF	ENSG00000279066	HEXDC-IT1	14
SF	ENSG00000225828	FAM229A	14
SF	ENSG00000233892	PAIP1P1	14
SF	ENSG00000124602	UNC5CL	14
SF	ENSG00000271383	NBPF19	14
SF	ENSG00000231105	RP5-1071N3.1	14
SF	ENSG00000278600	RP11-81A1.6	14
SF	ENSG00000271344	RP11-274B21.9	14
SF	ENSG00000234062	RP11-308D16.2	14
SF	ENSG00000237887	RPL23AP32	14
SF	ENSG00000241014	RP11-244H3.1	14
SF	ENSG00000278925	AC005753.1	14
SF	ENSG00000273432	RP5-1165K10.2	14
SF	ENSG00000272678	RP11-797D24.4	14
SF	ENSG00000207500	SNORD102	14
SF	ENSG00000271964	RP11-415F23.2	14
SF	ENSG00000185917	SETD4	14
SF	ENSG00000268279	RP11-434D12.1	14
SF	ENSG00000223768	LINC00205	14
SF	ENSG00000260196	RP1-239B22.5	14
SF	ENSG00000135473	PAN2	14
SF	ENSG00000242795	RP11-3K16.2	14
SF	ENSG00000262001	DLGAP1-AS2	14
SF	ENSG00000102387	TAF7L	14
SF	ENSG00000112592	TBP	14
SF	ENSG00000276409	CCL14	14
SF	ENSG00000204644	ZFP57	14
SF	ENSG00000198740	ZNF652	14
SF	ENSG00000280239	CTB-50L17.8	14
SF	ENSG00000180385	EMC3-AS1	14
SF	ENSG00000070669	ASNS	14
SF	ENSG00000152154	TMEM178A	14
SF	ENSG00000226849	RP4-635E18.7	14
SF	ENSG00000237017	AC012314.8	14
SF	ENSG00000130684	ZNF337	14
SF	ENSG00000267009	RP11-120M18.2	14
SF	ENSG00000277986	U4	14
SF	ENSG00000277873	RP11-33N14.3	14
SF	ENSG00000280048	RP11-327J17.7	14
SF	ENSG00000272156	RP11-477N3.1	14
SF	ENSG00000185986	SDHAP3	14
SF	ENSG00000065665	SEC61A2	14
SF	ENSG00000178127	NDUFV2	14
SF	ENSG00000251615	RP11-774O3.3	14
SF	ENSG00000279923	CTD-2008E3.1	14
SF	ENSG00000184465	WDR27	14
SF	ENSG00000254206	NPIPB11	14
SF	ENSG00000196329	GIMAP5	14
SF	ENSG00000120341	SEC16B	14
SF	ENSG00000245680	ZNF585B	14
SF	ENSG00000214783	POLR2J4	14
SF	ENSG00000241015	TPM3P9	14
SF	ENSG00000235194	PPP1R3E	14
SF	ENSG00000230177	RP5-1112D6.4	14
SF	ENSG00000260729	RP11-106M3.2	14
SF	ENSG00000010379	SLC6A13	14
SF	ENSG00000275759	RP11-131L12.3	14
SF	ENSG00000225670	CADM3-AS1	14
SF	ENSG00000273055	CTB-13F3.1	14
SF	ENSG00000276877	AL662801.1	14
SF	ENSG00000272182	RP11-802O23.3	14
SF	ENSG00000230844	ZNF674-AS1	14
SF	ENSG00000273058	RP11-385F5.5	14
SF	ENSG00000277173	CTD-2024F21.1	14
SF	ENSG00000260135	RP11-212I21.2	14
SF	ENSG00000207031	SNORD59A	14
