tissue	ensembl	gene_symbol	clust
BLOOD	ENSG00000270441	RP11-694I15.7	85
BLOOD	ENSG00000227992	AC108463.2	85
BLOOD	ENSG00000189419	SPATA41	85
BLOOD	ENSG00000242779	ZNF702P	85
BLOOD	ENSG00000276449	AC004076.5	85
BLOOD	ENSG00000180481	GLIPR1L2	85
BLOOD	ENSG00000270083	RP1-257I20.14	85
BLOOD	ENSG00000251669	FAM86EP	85
BLOOD	ENSG00000164976	KIAA1161	85
BLOOD	ENSG00000174628	IQCK	85
BLOOD	ENSG00000207145	SNORA18	85
BLOOD	ENSG00000263220	RP11-420A6.2	85
BLOOD	ENSG00000230896	RP11-767N6.7	85
BLOOD	ENSG00000224596	ZMIZ1-AS1	85
BLOOD	ENSG00000278709	NKILA	85
BLOOD	ENSG00000251634	RP11-1280N14.3	85
BLOOD	ENSG00000136114	THSD1	85
BLOOD	ENSG00000239272	RPL21P10	85
BLOOD	ENSG00000213846	AC098614.2	85
BLOOD	ENSG00000232176	RP11-146N23.1	85
BLOOD	ENSG00000184828	ZBTB7C	85
BLOOD	ENSG00000230532	AC091133.1	85
BLOOD	ENSG00000236114	RP11-517P14.7	85
BLOOD	ENSG00000254598	CSNK2A3	85
BLOOD	ENSG00000272812	RP5-855D21.3	85
BLOOD	ENSG00000168004	HRASLS5	85
BLOOD	ENSG00000101187	SLCO4A1	85
BLOOD	ENSG00000250131	RP11-130F10.1	85
BLOOD	ENSG00000243431	RPL5P30	85
BLOOD	ENSG00000181143	MUC16	85
BLOOD	ENSG00000106688	SLC1A1	85
BLOOD	ENSG00000267222	RP11-194N12.2	85
BLOOD	ENSG00000280374	RP11-337N6.3	85
BLOOD	ENSG00000272491	RP5-1024N4.4	85
BLOOD	ENSG00000253948	RP11-410L14.2	85
BLOOD	ENSG00000269463	RP11-727F15.13	85
BLOOD	ENSG00000198908	BHLHB9	85
BLOOD	ENSG00000204851	PNMAL2	85
BLOOD	ENSG00000205959	RP11-689P11.2	85
