tissue	ensembl	gene_symbol	clust
AOR	ENSG00000070366	SMG6	154
AOR	ENSG00000138459	SLC35A5	154
AOR	ENSG00000235072	AC012074.2	154
AOR	ENSG00000204899	MZT1	154
AOR	ENSG00000123191	ATP7B	154
AOR	ENSG00000129083	COPB1	154
AOR	ENSG00000158122	AAED1	154
AOR	ENSG00000250091	DNAH10OS	154
AOR	ENSG00000170921	TANC2	154
AOR	ENSG00000168026	TTC21A	154
AOR	ENSG00000171204	TMEM126B	154
AOR	ENSG00000100393	EP300	154
AOR	ENSG00000087253	LPCAT2	154
AOR	ENSG00000168385	sep-02	154
AOR	ENSG00000038002	AGA	154
AOR	ENSG00000181704	YIPF6	154
AOR	ENSG00000138760	SCARB2	154
AOR	ENSG00000169255	B3GALNT1	154
AOR	ENSG00000279162	CTD-3126B10.2	154
AOR	ENSG00000168016	TRANK1	154
AOR	ENSG00000115091	ACTR3	154
AOR	ENSG00000170417	TMEM182	154
AOR	ENSG00000169504	CLIC4	154
AOR	ENSG00000109911	ELP4	154
AOR	ENSG00000074695	LMAN1	154
AOR	ENSG00000111269	CREBL2	154
AOR	ENSG00000144746	ARL6IP5	154
AOR	ENSG00000084073	ZMPSTE24	154
AOR	ENSG00000198722	UNC13B	154
AOR	ENSG00000088808	PPP1R13B	154
AOR	ENSG00000144566	RAB5A	154
AOR	ENSG00000241489	AF011889.5	154
AOR	ENSG00000144597	EAF1	154
AOR	ENSG00000228434	AC004951.6	154
AOR	ENSG00000160007	ARHGAP35	154
AOR	ENSG00000120860	CCDC53	154
AOR	ENSG00000144744	UBA3	154
AOR	ENSG00000182841	RRP7BP	154
AOR	ENSG00000172380	GNG12	154
AOR	ENSG00000255302	EID1	154
AOR	ENSG00000114686	MRPL3	154
AOR	ENSG00000130254	SAFB2	154
AOR	ENSG00000119318	RAD23B	154
AOR	ENSG00000176422	SPRYD4	154
AOR	ENSG00000120705	ETF1	154
AOR	ENSG00000000003	TSPAN6	154
AOR	ENSG00000240288	GHRLOS	154
AOR	ENSG00000154767	XPC	154
AOR	ENSG00000166261	ZNF202	154
AOR	ENSG00000215717	TMEM167B	154
AOR	ENSG00000151743	AMN1	154
AOR	ENSG00000072401	UBE2D1	154
AOR	ENSG00000163527	STT3B	154
AOR	ENSG00000164172	MOCS2	154
AOR	ENSG00000155275	TRMT44	154
AOR	ENSG00000102471	NDFIP2	154
AOR	ENSG00000115946	PNO1	154
AOR	ENSG00000106049	HIBADH	154
AOR	ENSG00000169714	CNBP	154
AOR	ENSG00000134440	NARS	154
AOR	ENSG00000111231	GPN3	154
AOR	ENSG00000138101	DTNB	154
AOR	ENSG00000013561	RNF14	154
AOR	ENSG00000205423	CNEP1R1	154
AOR	ENSG00000188786	MTF1	154
AOR	ENSG00000258461	RP11-164J13.1	154
AOR	ENSG00000132406	TMEM128	154
AOR	ENSG00000072849	DERL2	154
AOR	ENSG00000164096	C4orf3	154
AOR	ENSG00000137817	PARP6	154
AOR	ENSG00000100567	PSMA3	154
AOR	ENSG00000023572	GLRX2	154
AOR	ENSG00000240230	COX19	154
AOR	ENSG00000121644	DESI2	154
