tissue	ensembl	gene_symbol	clust
BLOOD	ENSG00000196922	ZNF252P	47
BLOOD	ENSG00000103174	NAGPA	47
BLOOD	ENSG00000273691	RP11-617F23.2	47
BLOOD	ENSG00000278002	RP11-596C23.2	47
BLOOD	ENSG00000163832	ELP6	47
BLOOD	ENSG00000167083	GNGT2	47
BLOOD	ENSG00000135439	AGAP2	47
BLOOD	ENSG00000149782	PLCB3	47
BLOOD	ENSG00000108771	DHX58	47
BLOOD	ENSG00000197619	ZNF615	47
BLOOD	ENSG00000166123	GPT2	47
BLOOD	ENSG00000272391	POM121C	47
BLOOD	ENSG00000137166	FOXP4	47
BLOOD	ENSG00000110104	CCDC86	47
BLOOD	ENSG00000133104	SPG20	47
BLOOD	ENSG00000185033	SEMA4B	47
BLOOD	ENSG00000099817	POLR2E	47
BLOOD	ENSG00000130935	NOL11	47
BLOOD	ENSG00000198912	C1orf174	47
BLOOD	ENSG00000223773	CD99P1	47
BLOOD	ENSG00000168522	FNTA	47
BLOOD	ENSG00000014216	CAPN1	47
BLOOD	ENSG00000172663	TMEM134	47
BLOOD	ENSG00000233016	SNHG7	47
BLOOD	ENSG00000213672	NCKIPSD	47
BLOOD	ENSG00000068394	GPKOW	47
BLOOD	ENSG00000196465	MYL6B	47
BLOOD	ENSG00000174109	C16orf91	47
BLOOD	ENSG00000160888	IER2	47
BLOOD	ENSG00000156127	BATF	47
BLOOD	ENSG00000109618	SEPSECS	47
BLOOD	ENSG00000196507	TCEAL3	47
BLOOD	ENSG00000196460	RFX8	47
BLOOD	ENSG00000173273	TNKS	47
BLOOD	ENSG00000107874	CUEDC2	47
BLOOD	ENSG00000185721	DRG1	47
BLOOD	ENSG00000244187	TMEM141	47
BLOOD	ENSG00000159713	TPPP3	47
BLOOD	ENSG00000188636	LDOC1L	47
BLOOD	ENSG00000099797	TECR	47
BLOOD	ENSG00000119487	MAPKAP1	47
BLOOD	ENSG00000261468	RP11-1024P17.1	47
BLOOD	ENSG00000104823	ECH1	47
BLOOD	ENSG00000169813	HNRNPF	47
BLOOD	ENSG00000183773	AIFM3	47
BLOOD	ENSG00000110107	PRPF19	47
BLOOD	ENSG00000163527	STT3B	47
BLOOD	ENSG00000168802	CHTF8	47
BLOOD	ENSG00000134440	NARS	47
BLOOD	ENSG00000125386	FAM193A	47
BLOOD	ENSG00000184924	PTRHD1	47
BLOOD	ENSG00000171097	CCBL1	47
BLOOD	ENSG00000183087	GAS6	47
BLOOD	ENSG00000230795	HLA-K	47
BLOOD	ENSG00000110011	DNAJC4	47
BLOOD	ENSG00000158050	DUSP2	47
BLOOD	ENSG00000126351	THRA	47
BLOOD	ENSG00000105063	PPP6R1	47
BLOOD	ENSG00000177700	POLR2L	47
BLOOD	ENSG00000163866	SMIM12	47
BLOOD	ENSG00000128626	MRPS12	47
BLOOD	ENSG00000186111	PIP5K1C	47
BLOOD	ENSG00000182872	RBM10	47
BLOOD	ENSG00000134590	FAM127A	47
BLOOD	ENSG00000130304	SLC27A1	47
BLOOD	ENSG00000134717	BTF3L4	47
BLOOD	ENSG00000197363	ZNF517	47
BLOOD	ENSG00000167967	E4F1	47
BLOOD	ENSG00000164300	SERINC5	47
BLOOD	ENSG00000073050	XRCC1	47
BLOOD	ENSG00000197019	SERTAD1	47
BLOOD	ENSG00000071889	FAM3A	47
BLOOD	ENSG00000238098	ABCA17P	47
BLOOD	ENSG00000177042	TMEM80	47
BLOOD	ENSG00000226711	FAM66C	47
BLOOD	ENSG00000141564	RPTOR	47
BLOOD	ENSG00000181638	ZFP41	47
BLOOD	ENSG00000170265	ZNF282	47
BLOOD	ENSG00000136152	COG3	47
BLOOD	ENSG00000196497	IPO4	47
BLOOD	ENSG00000153291	SLC25A27	47
BLOOD	ENSG00000144895	EIF2A	47
BLOOD	ENSG00000171621	SPSB1	47
BLOOD	ENSG00000142039	CCDC97	47
BLOOD	ENSG00000145912	NHP2	47
BLOOD	ENSG00000143157	POGK	47
BLOOD	ENSG00000103496	STX4	47
BLOOD	ENSG00000269386	RAB11B-AS1	47
BLOOD	ENSG00000169635	HIC2	47
BLOOD	ENSG00000181284	TMEM102	47
BLOOD	ENSG00000161920	MED11	47
BLOOD	ENSG00000130204	TOMM40	47
BLOOD	ENSG00000102858	MGRN1	47
BLOOD	ENSG00000134283	PPHLN1	47
BLOOD	ENSG00000105248	CCDC94	47
BLOOD	ENSG00000178605	GTPBP6	47
BLOOD	ENSG00000159363	ATP13A2	47
BLOOD	ENSG00000164654	MIOS	47
BLOOD	ENSG00000213553	RPLP0P6	47
BLOOD	ENSG00000105669	COPE	47
BLOOD	ENSG00000031698	SARS	47
BLOOD	ENSG00000185361	TNFAIP8L1	47
BLOOD	ENSG00000167077	mei-01	47
BLOOD	ENSG00000063322	MED29	47
BLOOD	ENSG00000131351	HAUS8	47
BLOOD	ENSG00000004399	PLXND1	47
BLOOD	ENSG00000198133	TMEM229B	47
BLOOD	ENSG00000101216	GMEB2	47
BLOOD	ENSG00000161011	SQSTM1	47
BLOOD	ENSG00000142002	DPP9	47
BLOOD	ENSG00000167900	TK1	47
BLOOD	ENSG00000175634	RPS6KB2	47
BLOOD	ENSG00000141905	NFIC	47
BLOOD	ENSG00000171703	TCEA2	47
BLOOD	ENSG00000102181	CD99L2	47
BLOOD	ENSG00000188566	NDOR1	47
BLOOD	ENSG00000104957	CCDC130	47
BLOOD	ENSG00000160050	CCDC28B	47
BLOOD	ENSG00000184860	SDR42E1	47
BLOOD	ENSG00000130766	SESN2	47
BLOOD	ENSG00000100379	KCTD17	47
BLOOD	ENSG00000119203	CPSF3	47
BLOOD	ENSG00000254676	RP11-727A23.4	47
BLOOD	ENSG00000118894	EEF2KMT	47
BLOOD	ENSG00000166140	ZFYVE19	47
BLOOD	ENSG00000151445	VIPAS39	47
BLOOD	ENSG00000172732	MUS81	47
BLOOD	ENSG00000047315	POLR2B	47
BLOOD	ENSG00000137404	NRM	47
BLOOD	ENSG00000277972	CISD3	47
BLOOD	ENSG00000141577	CEP131	47
BLOOD	ENSG00000125458	NT5C	47
BLOOD	ENSG00000049769	PPP1R3F	47
BLOOD	ENSG00000115540	MOB4	47
BLOOD	ENSG00000141646	SMAD4	47
BLOOD	ENSG00000183506	PI4KAP2	47
BLOOD	ENSG00000102871	TRADD	47
BLOOD	ENSG00000176946	THAP4	47
BLOOD	ENSG00000103145	HCFC1R1	47
BLOOD	ENSG00000275074	NUDT18	47
BLOOD	ENSG00000270277	RP11-65L3.2	47
BLOOD	ENSG00000281772	RP11-567F11.2	47
BLOOD	ENSG00000111877	MCM9	47
BLOOD	ENSG00000240682	ISY1	47
BLOOD	ENSG00000138107	ACTR1A	47
BLOOD	ENSG00000155508	CNOT8	47
BLOOD	ENSG00000144120	TMEM177	47
BLOOD	ENSG00000131652	THOC6	47
BLOOD	ENSG00000198546	ZNF511	47
BLOOD	ENSG00000182484	WASH6P	47
BLOOD	ENSG00000065989	PDE4A	47
BLOOD	ENSG00000204498	NFKBIL1	47
BLOOD	ENSG00000143126	CELSR2	47
BLOOD	ENSG00000130559	CAMSAP1	47
BLOOD	ENSG00000116786	PLEKHM2	47
BLOOD	ENSG00000154258	ABCA9	47
BLOOD	ENSG00000120725	SIL1	47
BLOOD	ENSG00000116649	SRM	47
BLOOD	ENSG00000168566	SNRNP48	47
BLOOD	ENSG00000196961	AP2A1	47
BLOOD	ENSG00000159228	CBR1	47
BLOOD	ENSG00000136802	LRRC8A	47
BLOOD	ENSG00000141959	PFKL	47
BLOOD	ENSG00000163956	LRPAP1	47
BLOOD	ENSG00000171953	ATPAF2	47
