tissue	ensembl	gene_symbol	clust
BLOOD	ENSG00000184508	HDDC3	89
BLOOD	ENSG00000198160	MIER1	89
BLOOD	ENSG00000162702	ZNF281	89
BLOOD	ENSG00000121210	KIAA0922	89
BLOOD	ENSG00000251451	GTF2IP9	89
BLOOD	ENSG00000100393	EP300	89
BLOOD	ENSG00000125898	FAM110A	89
BLOOD	ENSG00000251728	Y_RNA	89
BLOOD	ENSG00000175193	PARL	89
BLOOD	ENSG00000148290	SURF1	89
BLOOD	ENSG00000168016	TRANK1	89
BLOOD	ENSG00000147251	DOCK11	89
BLOOD	ENSG00000147133	TAF1	89
BLOOD	ENSG00000172728	FUT10	89
BLOOD	ENSG00000139697	SBNO1	89
BLOOD	ENSG00000120071	KANSL1	89
BLOOD	ENSG00000223459	TCAF1P1	89
BLOOD	ENSG00000160007	ARHGAP35	89
BLOOD	ENSG00000268521	VN1R83P	89
BLOOD	ENSG00000276547	PCDHGB5	89
BLOOD	ENSG00000197451	HNRNPAB	89
BLOOD	ENSG00000144426	NBEAL1	89
BLOOD	ENSG00000171681	ATF7IP	89
BLOOD	ENSG00000005810	MYCBP2	89
BLOOD	ENSG00000234465	PINLYP	89
BLOOD	ENSG00000165288	BRWD3	89
BLOOD	ENSG00000102699	PARP4	89
BLOOD	ENSG00000213619	NDUFS3	89
BLOOD	ENSG00000165813	CCDC186	89
BLOOD	ENSG00000101752	MIB1	89
BLOOD	ENSG00000117448	AKR1A1	89
BLOOD	ENSG00000124942	AHNAK	89
BLOOD	ENSG00000134809	TIMM10	89
BLOOD	ENSG00000138593	SECISBP2L	89
BLOOD	ENSG00000133059	DSTYK	89
BLOOD	ENSG00000146386	ABRACL	89
BLOOD	ENSG00000138592	USP8	89
BLOOD	ENSG00000141504	SAT2	89
BLOOD	ENSG00000070404	FSTL3	89
BLOOD	ENSG00000079246	XRCC5	89
BLOOD	ENSG00000114127	XRN1	89
BLOOD	ENSG00000077684	JADE1	89
BLOOD	ENSG00000001167	NFYA	89
BLOOD	ENSG00000112851	ERBB2IP	89
BLOOD	ENSG00000143341	HMCN1	89
BLOOD	ENSG00000048707	VPS13D	89
BLOOD	ENSG00000239884	RN7SL608P	89
BLOOD	ENSG00000188994	ZNF292	89
BLOOD	ENSG00000060762	MPC1	89
BLOOD	ENSG00000125107	CNOT1	89
BLOOD	ENSG00000188033	ZNF490	89
BLOOD	ENSG00000187801	ZFP69B	89
BLOOD	ENSG00000157764	BRAF	89
BLOOD	ENSG00000153339	TRAPPC8	89
BLOOD	ENSG00000112624	GLTSCR1L	89
BLOOD	ENSG00000144791	LIMD1	89
BLOOD	ENSG00000121879	PIK3CA	89
BLOOD	ENSG00000147117	ZNF157	89
BLOOD	ENSG00000153187	HNRNPU	89
BLOOD	ENSG00000091039	OSBPL8	89
BLOOD	ENSG00000261229	RP11-38G5.4	89
BLOOD	ENSG00000078747	ITCH	89
BLOOD	ENSG00000185304	RGPD2	89
BLOOD	ENSG00000109171	SLAIN2	89
BLOOD	ENSG00000151414	NEK7	89
BLOOD	ENSG00000218510	LINC00339	89
BLOOD	ENSG00000082701	GSK3B	89
BLOOD	ENSG00000188596	CFAP54	89
BLOOD	ENSG00000114439	BBX	89
BLOOD	ENSG00000125827	TMX4	89
BLOOD	ENSG00000134086	VHL	89
BLOOD	ENSG00000056097	ZFR	89
