tissue	ensembl	gene_symbol	clust
BLOOD	ENSG00000185085	INTS5	146
BLOOD	ENSG00000167740	CYB5D2	146
BLOOD	ENSG00000215440	NPEPL1	146
BLOOD	ENSG00000151729	SLC25A4	146
BLOOD	ENSG00000182841	RRP7BP	146
BLOOD	ENSG00000267317	CTB-25B13.12	146
BLOOD	ENSG00000105258	POLR2I	146
BLOOD	ENSG00000106636	YKT6	146
BLOOD	ENSG00000204564	C6orf136	146
BLOOD	ENSG00000141499	WRAP53	146
BLOOD	ENSG00000099326	MZF1	146
BLOOD	ENSG00000170468	C14orf169	146
BLOOD	ENSG00000106266	SNX8	146
BLOOD	ENSG00000178307	TMEM11	146
BLOOD	ENSG00000160439	RDH13	146
BLOOD	ENSG00000227946	AC007383.3	146
BLOOD	ENSG00000173402	DAG1	146
BLOOD	ENSG00000105556	MIER2	146
BLOOD	ENSG00000020129	NCDN	146
BLOOD	ENSG00000004975	DVL2	146
BLOOD	ENSG00000196689	TRPV1	146
BLOOD	ENSG00000019485	PRDM11	146
BLOOD	ENSG00000157881	PANK4	146
BLOOD	ENSG00000101353	MROH8	146
BLOOD	ENSG00000132024	CC2D1A	146
BLOOD	ENSG00000160703	NLRX1	146
BLOOD	ENSG00000160953	MUM1	146
BLOOD	ENSG00000111325	OGFOD2	146
BLOOD	ENSG00000104976	SNAPC2	146
BLOOD	ENSG00000125454	SLC25A19	146
BLOOD	ENSG00000161395	PGAP3	146
BLOOD	ENSG00000270170	NCBP2-AS2	146
BLOOD	ENSG00000106012	IQCE	146
BLOOD	ENSG00000135637	CCDC142	146
BLOOD	ENSG00000168237	GLYCTK	146
BLOOD	ENSG00000174851	YIF1A	146
BLOOD	ENSG00000121775	TMEM39B	146
BLOOD	ENSG00000254901	BORCS8	146
BLOOD	ENSG00000269958	RP11-73M18.8	146
BLOOD	ENSG00000198520	C1orf228	146
BLOOD	ENSG00000134030	CTIF	146
BLOOD	ENSG00000164967	RPP25L	146
BLOOD	ENSG00000093010	COMT	146
BLOOD	ENSG00000032389	TSSC1	146
BLOOD	ENSG00000205593	DENND6B	146
BLOOD	ENSG00000162227	TAF6L	146
BLOOD	ENSG00000117480	FAAH	146
BLOOD	ENSG00000126062	TMEM115	146
BLOOD	ENSG00000206190	ATP10A	146
BLOOD	ENSG00000138623	SEMA7A	146
BLOOD	ENSG00000162729	IGSF8	146
BLOOD	ENSG00000161999	JMJD8	146
BLOOD	ENSG00000100151	PICK1	146
BLOOD	ENSG00000204536	CCHCR1	146
BLOOD	ENSG00000160190	SLC37A1	146
BLOOD	ENSG00000090432	MUL1	146
BLOOD	ENSG00000008853	RHOBTB2	146
BLOOD	ENSG00000148291	SURF2	146
BLOOD	ENSG00000196700	ZNF512B	146
BLOOD	ENSG00000075340	ADD2	146
BLOOD	ENSG00000221838	AP4M1	146
