ensembl	tissue	gene	P	FDR
ENSG00000081248	SKLM	CACNA1S	2.03E-304	3.53E-304
ENSG00000169885	SKLM	CALML6	2.03E-304	3.53E-304
ENSG00000129910	SKLM	CDH15	2.03E-304	3.53E-304
ENSG00000175920	SKLM	DOK7	2.03E-304	3.53E-304
ENSG00000086967	SKLM	MYBPC2	2.03E-304	3.53E-304
ENSG00000177791	SKLM	MYOZ1	2.03E-304	3.53E-304
ENSG00000178821	SKLM	TMEM52	2.03E-304	3.53E-304
ENSG00000143028	SKLM	SYPL2	9.48E-261	1.58E-260
ENSG00000069011	SKLM	PITX1	6.72E-89	9.30E-89
ENSG00000138100	SKLM	TRIM54	5.74E-56	7.40E-56
ENSG00000185482	SKLM	STAC3	1.89E-25	2.21E-25
ENSG00000166317	SKLM	SYNPO2L	2.33E-11	2.56E-11
ENSG00000143365	SKLM	RORC	9.04E-10	9.81E-10
ENSG00000124701	SKLM	APOBEC2	2.29E-08	2.45E-08
ENSG00000092529	SKLM	CAPN3	3.79E-08	4.05E-08
ENSG00000168907	SKLM	PLA2G4F	0.000058353	0.000060781
