ensembl	tissue	gene	P	FDR
ENSG00000109576	LIV	AADAT	2.03E-304	3.53E-304
ENSG00000169083	LIV	AR	2.03E-304	3.53E-304
ENSG00000162852	LIV	CNST	2.03E-304	3.53E-304
ENSG00000137992	LIV	DBT	2.03E-304	3.53E-304
ENSG00000134760	LIV	DSG1	2.03E-304	3.53E-304
ENSG00000112234	LIV	FBXL4	2.03E-304	3.53E-304
ENSG00000178075	LIV	GRAMD1C	2.03E-304	3.53E-304
ENSG00000087299	LIV	L2HGDH	2.03E-304	3.53E-304
ENSG00000131844	LIV	MCCC2	2.03E-304	3.53E-304
ENSG00000247556	LIV	OIP5-AS1	2.03E-304	3.53E-304
ENSG00000119547	LIV	ONECUT2	2.03E-304	3.53E-304
ENSG00000157106	LIV	SMG1	2.03E-304	3.53E-304
ENSG00000131018	LIV	SYNE1	2.03E-304	3.53E-304
ENSG00000176542	LIV	USF3	2.03E-304	3.53E-304
ENSG00000196323	LIV	ZBTB44	2.03E-304	3.53E-304
ENSG00000091656	LIV	ZFHX4	2.03E-304	3.53E-304
ENSG00000106261	LIV	ZKSCAN1	2.03E-304	3.53E-304
ENSG00000151623	LIV	NR3C2	9.11E-255	1.51E-254
ENSG00000149212	LIV	SESN3	7.42E-127	1.08E-126
ENSG00000119950	LIV	MXI1	5.57E-118	8.05E-118
ENSG00000253598	LIV	SLC10A5	6.18E-105	8.78E-105
ENSG00000124098	LIV	FAM210B	2.10E-60	2.74E-60
ENSG00000138073	LIV	PREB	1.12E-47	1.42E-47
ENSG00000125449	LIV	ARMC7	5.88E-07	6.25E-07
