ensembl	tissue	gene	P	FDR
ENSG00000142192	BLOOD	APP	2.03E-304	3.53E-304
ENSG00000185052	BLOOD	SLC24A3	2.03E-304	3.53E-304
ENSG00000167460	BLOOD	TPM4	2.03E-304	3.53E-304
ENSG00000127831	BLOOD	VIL1	2.03E-304	3.53E-304
ENSG00000143995	BLOOD	MEIS1	3.82E-242	6.24E-242
ENSG00000102804	BLOOD	TSC22D1	1.77E-231	2.86E-231
ENSG00000122643	BLOOD	NT5C3A	3.09E-200	4.88E-200
ENSG00000125952	BLOOD	MAX	2.06E-163	3.15E-163
ENSG00000165702	BLOOD	GFI1B	5.09E-91	7.08E-91
ENSG00000117691	BLOOD	NENF	1.07E-70	1.44E-70
ENSG00000128245	BLOOD	YWHAH	3.98E-38	4.87E-38
ENSG00000119684	BLOOD	MLH3	1.71E-36	2.08E-36
ENSG00000171735	BLOOD	CAMTA1	5.27E-33	6.34E-33
ENSG00000166963	BLOOD	MAP1A	2.20E-24	2.57E-24
ENSG00000168374	BLOOD	ARF4	0.000068394	0.000071163
ENSG00000177697	BLOOD	CD151	0.00017143	0.0001776
