ensembl	tissue	gene	P	FDR
ENSG00000116133	LIV	DHCR24	2.03E-304	3.53E-304
ENSG00000172893	LIV	DHCR7	2.03E-304	3.53E-304
ENSG00000149485	LIV	FADS1	2.03E-304	3.53E-304
ENSG00000134824	LIV	FADS2	2.03E-304	3.53E-304
ENSG00000122378	LIV	FAM213A	2.03E-304	3.53E-304
ENSG00000139428	LIV	MMAB	2.03E-304	3.53E-304
ENSG00000110921	LIV	MVK	2.03E-304	3.53E-304
ENSG00000109929	LIV	SC5D	2.03E-304	3.53E-304
ENSG00000260630	LIV	SNAI3-AS1	2.03E-304	3.53E-304
ENSG00000198911	LIV	SREBF2	2.03E-304	3.53E-304
ENSG00000182134	LIV	TDRKH	2.03E-304	3.53E-304
ENSG00000176428	LIV	VPS37D	2.03E-304	3.53E-304
ENSG00000081760	LIV	AACS	5.82E-228	9.41E-228
ENSG00000076555	LIV	ACACB	3.09E-148	4.64E-148
ENSG00000162769	LIV	FLVCR1	2.38E-136	3.53E-136
ENSG00000273117	LIV	AC144652.1	6.12E-62	8.02E-62
ENSG00000109084	LIV	TMEM97	2.51E-13	2.78E-13
