ensembl	tissue	gene	P	FDR
ENSG00000152117	VAF	AC093838.4	2.03E-304	3.53E-304
ENSG00000110455	VAF	ACCS	2.03E-304	3.53E-304
ENSG00000149451	VAF	ADAM33	2.03E-304	3.53E-304
ENSG00000145020	VAF	AMT	2.03E-304	3.53E-304
ENSG00000102901	VAF	CENPT	2.03E-304	3.53E-304
ENSG00000167280	VAF	ENGASE	2.03E-304	3.53E-304
ENSG00000144230	VAF	GPR17	2.03E-304	3.53E-304
ENSG00000102878	VAF	HSF4	2.03E-304	3.53E-304
ENSG00000212694	VAF	LINC01089	2.03E-304	3.53E-304
ENSG00000223705	VAF	NSUN5P1	2.03E-304	3.53E-304
ENSG00000217930	VAF	PAM16	2.03E-304	3.53E-304
ENSG00000155066	VAF	PROM2	2.03E-304	3.53E-304
ENSG00000262877	VAF	RP11-1055B8.4	2.03E-304	3.53E-304
ENSG00000182109	VAF	RP11-69E11.4	2.03E-304	3.53E-304
ENSG00000171163	VAF	ZNF692	2.03E-304	3.53E-304
ENSG00000272752	VAF	STAG3L5P-PVRIG2P-PILRB	4.24E-274	7.14E-274
