ensembl	tissue	gene	P	FDR
ENSG00000144891	LIV	AGTR1	2.03E-304	3.53E-304
ENSG00000146215	LIV	CRIP3	2.03E-304	3.53E-304
ENSG00000129514	LIV	FOXA1	2.03E-304	3.53E-304
ENSG00000137265	LIV	IRF4	2.03E-304	3.53E-304
ENSG00000119138	LIV	KLF9	2.03E-304	3.53E-304
ENSG00000141027	LIV	NCOR1	2.03E-304	3.53E-304
ENSG00000103449	LIV	SALL1	2.03E-304	3.53E-304
ENSG00000176148	LIV	TCP11L1	2.03E-304	3.53E-304
ENSG00000146216	LIV	TTBK1	2.03E-304	3.53E-304
ENSG00000235109	LIV	ZSCAN31	2.03E-304	3.53E-304
ENSG00000150907	LIV	FOXO1	8.23E-27	9.69E-27
