ensembl	tissue	gene	P	FDR
ENSG00000224389	SKLM	C4B	2.03E-304	3.53E-304
ENSG00000204936	SKLM	CD177	2.03E-304	3.53E-304
ENSG00000108556	SKLM	CHRNE	2.03E-304	3.53E-304
ENSG00000050767	SKLM	COL23A1	2.03E-304	3.53E-304
ENSG00000175832	SKLM	ETV4	2.03E-304	3.53E-304
ENSG00000155816	SKLM	FMN2	2.03E-304	3.53E-304
ENSG00000251493	SKLM	FOXD1	2.03E-304	3.53E-304
ENSG00000186564	SKLM	FOXD2	2.03E-304	3.53E-304
ENSG00000111087	SKLM	GLI1	2.03E-304	3.53E-304
ENSG00000184232	SKLM	OAF	2.03E-304	3.53E-304
ENSG00000115596	SKLM	WNT6	2.03E-304	3.53E-304
ENSG00000244405	SKLM	ETV5	4.64E-126	6.78E-126
ENSG00000137699	SKLM	TRIM29	4.22E-115	6.06E-115
ENSG00000110786	SKLM	PTPN5	2.66E-59	3.46E-59
