ensembl	tissue	gene	P	FDR
ENSG00000138363	SF	ATIC	2.03E-304	3.53E-304
ENSG00000085063	SF	CD59	2.03E-304	3.53E-304
ENSG00000111666	SF	CHPT1	2.03E-304	3.53E-304
ENSG00000110871	SF	COQ5	2.03E-304	3.53E-304
ENSG00000146425	SF	DYNLT1	2.03E-304	3.53E-304
ENSG00000109519	SF	GRPEL1	2.03E-304	3.53E-304
ENSG00000090263	SF	MRPS33	2.03E-304	3.53E-304
ENSG00000122085	SF	MTERF4	2.03E-304	3.53E-304
ENSG00000130414	SF	NDUFA10	2.03E-304	3.53E-304
ENSG00000170515	SF	PA2G4	2.03E-304	3.53E-304
ENSG00000171792	SF	RHNO1	2.03E-304	3.53E-304
ENSG00000100347	SF	SAMM50	2.03E-304	3.53E-304
ENSG00000163597	SF	SNHG16	2.03E-304	3.53E-304
ENSG00000170310	SF	STX8	2.03E-304	3.53E-304
ENSG00000169490	SF	TM2D2	2.03E-304	3.53E-304
ENSG00000232112	SF	TMA7	2.03E-304	3.53E-304
ENSG00000089063	SF	TMEM230	2.03E-304	3.53E-304
ENSG00000183665	SF	TRMT12	2.03E-304	3.53E-304
ENSG00000170035	SF	UBE2E3	2.03E-304	3.53E-304
ENSG00000156795	SF	WDYHV1	2.03E-304	3.53E-304
ENSG00000198270	SF	TMEM116	5.00E-74	6.75E-74
ENSG00000136371	SF	MTHFS	0.0002386	0.00024671
