ensembl	tissue	gene	P	FDR
ENSG00000100554	VAF	ATP6V1D	2.03E-304	3.53E-304
ENSG00000118418	VAF	HMGN3	2.03E-304	3.53E-304
ENSG00000171806	VAF	METTL18	2.03E-304	3.53E-304
ENSG00000111802	VAF	TDP2	1.41E-275	2.37E-275
ENSG00000049449	VAF	RCN1	2.69E-128	3.95E-128
ENSG00000198783	VAF	ZNF830	1.75E-97	2.46E-97
ENSG00000181061	VAF	HIGD1A	6.98E-70	9.35E-70
ENSG00000105185	VAF	PDCD5	2.20E-63	2.90E-63
ENSG00000050130	VAF	JKAMP	2.15E-62	2.83E-62
ENSG00000163938	VAF	GNL3	4.24E-60	5.55E-60
ENSG00000180817	VAF	PPA1	9.51E-57	1.23E-56
ENSG00000197498	VAF	RPF2	2.16E-52	2.77E-52
ENSG00000092020	VAF	PPP2R3C	1.49E-50	1.90E-50
ENSG00000137714	VAF	FDX1	2.17E-49	2.76E-49
ENSG00000156261	VAF	CCT8	1.74E-47	2.20E-47
ENSG00000174446	VAF	SNAPC5	7.02E-42	8.71E-42
ENSG00000167842	VAF	MIS12	3.79E-41	4.69E-41
ENSG00000198929	VAF	NOS1AP	6.98E-39	8.59E-39
ENSG00000137947	VAF	GTF2B	7.13E-39	8.77E-39
ENSG00000127463	VAF	EMC1	5.60E-38	6.86E-38
ENSG00000170653	VAF	ATF7	6.67E-38	8.16E-38
ENSG00000253731	VAF	PCDHGA6	6.88E-38	8.42E-38
ENSG00000100744	VAF	GSKIP	1.20E-37	1.47E-37
ENSG00000156469	VAF	MTERF3	5.64E-36	6.86E-36
ENSG00000152904	VAF	GGPS1	9.78E-32	1.17E-31
ENSG00000153975	VAF	ZUFSP	1.95E-31	2.34E-31
ENSG00000114744	VAF	COMMD2	1.77E-30	2.12E-30
ENSG00000136936	VAF	XPA	4.23E-30	5.04E-30
ENSG00000067066	VAF	SP100	5.61E-29	6.66E-29
ENSG00000188313	VAF	PLSCR1	1.15E-27	1.36E-27
ENSG00000073584	VAF	SMARCE1	2.43E-27	2.87E-27
ENSG00000152240	VAF	HAUS1	1.01E-20	1.17E-20
ENSG00000123545	VAF	NDUFAF4	1.36E-20	1.56E-20
ENSG00000123737	VAF	EXOSC9	1.48E-19	1.69E-19
ENSG00000107282	VAF	APBA1	7.05E-12	7.75E-12
ENSG00000164346	VAF	NSA2	3.24E-10	3.53E-10
ENSG00000137364	VAF	TPMT	0.000002362	2.4935E-06
ENSG00000109775	VAF	UFSP2	0.000040741	0.000042517
ENSG00000020256	VAF	ZFP64	0.000073454	0.000076406
ENSG00000120860	VAF	CCDC53	0.00010381	0.0001078
ENSG00000164647	VAF	STEAP1	0.0065581	0.0066802
ENSG00000155393	VAF	HEATR3	0.033549	0.033921
