ensembl	tissue	gene	P	FDR
ENSG00000100852	AOR	ARHGAP5	2.03E-304	3.53E-304
ENSG00000114439	AOR	BBX	2.03E-304	3.53E-304
ENSG00000118260	AOR	CREB1	2.03E-304	3.53E-304
ENSG00000088205	AOR	DDX18	2.03E-304	3.53E-304
ENSG00000062194	AOR	GPBP1	2.03E-304	3.53E-304
ENSG00000112339	AOR	HBS1L	2.03E-304	3.53E-304
ENSG00000071794	AOR	HLTF	2.03E-304	3.53E-304
ENSG00000168172	AOR	HOOK3	2.03E-304	3.53E-304
ENSG00000136051	AOR	KIAA1033	2.03E-304	3.53E-304
ENSG00000138095	AOR	LRPPRC	2.03E-304	3.53E-304
ENSG00000198162	AOR	MAN1A2	2.03E-304	3.53E-304
ENSG00000104320	AOR	NBN	2.03E-304	3.53E-304
ENSG00000169251	AOR	NMD3	2.03E-304	3.53E-304
ENSG00000185129	AOR	PURA	2.03E-304	3.53E-304
ENSG00000129317	AOR	PUS7L	2.03E-304	3.53E-304
ENSG00000084093	AOR	REST	2.03E-304	3.53E-304
ENSG00000117000	AOR	RLF	2.03E-304	3.53E-304
ENSG00000196628	AOR	TCF4	2.03E-304	3.53E-304
ENSG00000066422	AOR	ZBTB11	2.03E-304	3.53E-304
ENSG00000196323	AOR	ZBTB44	2.03E-304	3.53E-304
ENSG00000005889	AOR	ZFX	2.03E-304	3.53E-304
ENSG00000254004	AOR	ZNF260	2.03E-304	3.53E-304
ENSG00000198839	AOR	ZNF277	2.03E-304	3.53E-304
ENSG00000177932	AOR	ZNF354C	2.03E-304	3.53E-304
ENSG00000112200	AOR	ZNF451	2.03E-304	3.53E-304
ENSG00000171827	AOR	ZNF570	2.03E-304	3.53E-304
ENSG00000175105	AOR	ZNF654	2.03E-304	3.53E-304
ENSG00000036549	AOR	ZZZ3	2.03E-304	3.53E-304
ENSG00000177311	AOR	ZBTB38	1.50E-154	2.26E-154
ENSG00000102531	AOR	FNDC3A	7.52E-134	1.11E-133
ENSG00000164631	AOR	ZNF12	2.10E-87	2.91E-87
ENSG00000108064	AOR	TFAM	2.78E-43	3.47E-43
ENSG00000115966	AOR	ATF2	6.98E-20	8.00E-20
ENSG00000104231	AOR	ZFAND1	8.64E-07	9.15E-07
ENSG00000177683	AOR	THAP5	2.8178E-06	2.9722E-06
ENSG00000187735	AOR	TCEA1	4.1883E-06	4.4142E-06
ENSG00000085274	AOR	MYNN	0.0006553	0.0006754
ENSG00000113597	AOR	TRAPPC13	0.0025788	0.0026423
ENSG00000069869	AOR	NEDD4	0.014078	0.014283
