ensembl	tissue	gene	P	FDR
ENSG00000211890	LIV	IGHA2	2.03E-304	3.53E-304
ENSG00000232216	LIV	IGHV3-43	2.03E-304	3.53E-304
ENSG00000211964	LIV	IGHV3-48	2.03E-304	3.53E-304
ENSG00000223648	LIV	IGHV3-64	2.03E-304	3.53E-304
ENSG00000211972	LIV	IGHV3-66	2.03E-304	3.53E-304
ENSG00000231475	LIV	IGHV4-31	2.03E-304	3.53E-304
ENSG00000211959	LIV	IGHV4-39	2.03E-304	3.53E-304
ENSG00000224373	LIV	IGHV4-59	2.03E-304	3.53E-304
ENSG00000211970	LIV	IGHV4-61	2.03E-304	3.53E-304
ENSG00000243264	LIV	IGKV2D-29	2.03E-304	3.53E-304
ENSG00000211677	LIV	IGLC2	2.03E-304	3.53E-304
ENSG00000211679	LIV	IGLC3	2.03E-304	3.53E-304
ENSG00000211685	LIV	IGLC7	2.03E-304	3.53E-304
ENSG00000211642	LIV	IGLV10-54	2.03E-304	3.53E-304
ENSG00000211640	LIV	IGLV6-57	2.03E-304	3.53E-304
ENSG00000167077	LIV	mei-01	2.03E-304	3.53E-304
ENSG00000110777	LIV	POU2AF1	2.03E-304	3.53E-304
ENSG00000241755	LIV	IGKV1-9	3.28E-228	5.31E-228
