ensembl	tissue	gene	P	FDR
ENSG00000111452	VAF	ADGRD1	2.03E-304	3.53E-304
ENSG00000141448	VAF	GATA6	2.03E-304	3.53E-304
ENSG00000131459	VAF	GFPT2	2.03E-304	3.53E-304
ENSG00000102554	VAF	KLF5	2.03E-304	3.53E-304
ENSG00000100228	VAF	RAB36	2.03E-304	3.53E-304
ENSG00000138821	VAF	SLC39A8	2.03E-304	3.53E-304
ENSG00000184828	VAF	ZBTB7C	2.03E-304	3.53E-304
ENSG00000143867	VAF	OSR1	2.51E-226	4.05E-226
ENSG00000140104	VAF	C14orf79	3.99E-224	6.42E-224
ENSG00000143995	VAF	MEIS1	9.88E-175	1.53E-174
ENSG00000131941	VAF	RHPN2	1.52E-125	2.23E-125
ENSG00000163814	VAF	CDCP1	8.38E-123	1.22E-122
ENSG00000081479	VAF	LRP2	3.99E-119	5.78E-119
ENSG00000096093	VAF	EFHC1	3.39E-99	4.78E-99
ENSG00000131037	VAF	EPS8L1	1.68E-98	2.37E-98
ENSG00000106571	VAF	GLI3	2.28E-86	3.15E-86
ENSG00000134138	VAF	MEIS2	2.84E-86	3.92E-86
ENSG00000107249	VAF	GLIS3	2.19E-77	2.99E-77
ENSG00000112902	VAF	SEMA5A	8.26E-77	1.12E-76
ENSG00000243566	VAF	UPK3B	8.39E-74	1.13E-73
ENSG00000087510	VAF	TFAP2C	2.16E-69	2.88E-69
ENSG00000172379	VAF	ARNT2	1.12E-46	1.41E-46
ENSG00000184937	VAF	WT1	8.84E-43	1.10E-42
ENSG00000124920	VAF	MYRF	1.24E-40	1.53E-40
ENSG00000169594	VAF	BNC1	5.53E-40	6.82E-40
ENSG00000174939	VAF	ASPHD1	1.97E-36	2.40E-36
ENSG00000150672	VAF	DLG2	2.80E-35	3.40E-35
ENSG00000125966	VAF	MMP24	6.42E-25	7.52E-25
ENSG00000130700	VAF	GATA5	1.26E-21	1.46E-21
ENSG00000164520	VAF	RAET1E	2.85E-20	3.27E-20
ENSG00000162631	VAF	NTNG1	1.47E-19	1.68E-19
ENSG00000227051	VAF	C14orf132	4.95E-18	5.61E-18
ENSG00000019102	VAF	VSIG2	2.30E-08	2.46E-08
ENSG00000135406	VAF	PRPH	0.027258	0.027597
