ensembl	tissue	gene	P	FDR
ENSG00000166233	BLOOD	ARIH1	2.03E-304	3.53E-304
ENSG00000116539	BLOOD	ASH1L	2.03E-304	3.53E-304
ENSG00000114439	BLOOD	BBX	2.03E-304	3.53E-304
ENSG00000096401	BLOOD	CDC5L	2.03E-304	3.53E-304
ENSG00000120690	BLOOD	ELF1	2.03E-304	3.53E-304
ENSG00000053254	BLOOD	FOXN3	2.03E-304	3.53E-304
ENSG00000078747	BLOOD	ITCH	2.03E-304	3.53E-304
ENSG00000109787	BLOOD	KLF3	2.03E-304	3.53E-304
ENSG00000140396	BLOOD	NCOA2	2.03E-304	3.53E-304
ENSG00000102908	BLOOD	NFAT5	2.03E-304	3.53E-304
ENSG00000113580	BLOOD	NR3C1	2.03E-304	3.53E-304
ENSG00000091039	BLOOD	OSBPL8	2.03E-304	3.53E-304
ENSG00000165650	BLOOD	PDZD8	2.03E-304	3.53E-304
ENSG00000025293	BLOOD	PHF20	2.03E-304	3.53E-304
ENSG00000198961	BLOOD	PJA2	2.03E-304	3.53E-304
ENSG00000116731	BLOOD	PRDM2	2.03E-304	3.53E-304
ENSG00000257315	BLOOD	ZBED6	2.03E-304	3.53E-304
ENSG00000162702	BLOOD	ZNF281	2.03E-304	3.53E-304
ENSG00000153207	BLOOD	AHCTF1	8.22E-115	1.18E-114
ENSG00000174574	BLOOD	AKIRIN1	8.51E-112	1.22E-111
ENSG00000188994	BLOOD	ZNF292	3.63E-90	5.05E-90
ENSG00000118260	BLOOD	CREB1	5.74E-83	7.89E-83
ENSG00000120071	BLOOD	KANSL1	2.11E-74	2.86E-74
ENSG00000110713	BLOOD	NUP98	7.86E-70	1.05E-69
ENSG00000163848	BLOOD	ZNF148	1.63E-69	2.18E-69
ENSG00000160007	BLOOD	ARHGAP35	2.80E-68	3.73E-68
ENSG00000140307	BLOOD	GTF2A2	5.80E-61	7.59E-61
ENSG00000060762	BLOOD	MPC1	8.98E-60	1.17E-59
ENSG00000178502	BLOOD	KLHL11	2.45E-12	2.70E-12
ENSG00000167613	BLOOD	LAIR1	1.46E-10	1.60E-10
ENSG00000146386	BLOOD	ABRACL	0.000005977	6.2821E-06
ENSG00000176542	BLOOD	USF3	0.0014426	0.0014832
ENSG00000067066	BLOOD	SP100	0.068126	0.068718
