ensembl	tissue	gene	P	FDR
ENSG00000131620	VAF	ANO1	2.03E-304	3.53E-304
ENSG00000047617	VAF	ANO2	2.03E-304	3.53E-304
ENSG00000132840	VAF	BHMT2	2.03E-304	3.53E-304
ENSG00000204387	VAF	C6orf48	2.03E-304	3.53E-304
ENSG00000116198	VAF	CEP104	2.03E-304	3.53E-304
ENSG00000158258	VAF	CLSTN2	2.03E-304	3.53E-304
ENSG00000095485	VAF	CWF19L1	2.03E-304	3.53E-304
ENSG00000226950	VAF	DANCR	2.03E-304	3.53E-304
ENSG00000156508	VAF	EEF1A1	2.03E-304	3.53E-304
ENSG00000259070	VAF	LINC00639	2.03E-304	3.53E-304
ENSG00000175581	VAF	MRPL48	2.03E-304	3.53E-304
ENSG00000161980	VAF	POLR3K	2.03E-304	3.53E-304
ENSG00000108298	VAF	RPL19	2.03E-304	3.53E-304
ENSG00000163682	VAF	RPL9	2.03E-304	3.53E-304
ENSG00000186468	VAF	RPS23	2.03E-304	3.53E-304
ENSG00000168028	VAF	RPSA	2.03E-304	3.53E-304
ENSG00000255717	VAF	SNHG1	2.03E-304	3.53E-304
ENSG00000269893	VAF	SNHG8	2.03E-304	3.53E-304
ENSG00000149488	VAF	TMC2	2.03E-304	3.53E-304
