ensembl	tissue	gene	P	FDR
ENSG00000119688	MAM	ABCD4	2.03E-304	3.53E-304
ENSG00000110455	MAM	ACCS	2.03E-304	3.53E-304
ENSG00000106948	MAM	AKNA	2.03E-304	3.53E-304
ENSG00000142102	MAM	ATHL1	2.03E-304	3.53E-304
ENSG00000005379	MAM	BZRAP1	2.03E-304	3.53E-304
ENSG00000102901	MAM	CENPT	2.03E-304	3.53E-304
ENSG00000167280	MAM	ENGASE	2.03E-304	3.53E-304
ENSG00000099326	MAM	MZF1	2.03E-304	3.53E-304
ENSG00000104852	MAM	SNRNP70	2.03E-304	3.53E-304
ENSG00000158805	MAM	ZNF276	2.03E-304	3.53E-304
ENSG00000171163	MAM	ZNF692	2.03E-304	3.53E-304
ENSG00000204946	MAM	ZNF783	2.03E-304	3.53E-304
ENSG00000198026	MAM	ZNF335	1.44E-203	2.28E-203
ENSG00000266714	MAM	MYO15B	4.98E-48	6.31E-48
ENSG00000126456	MAM	IRF3	1.05E-37	1.29E-37
