ensembl	tissue	gene	P	FDR
ENSG00000183549	MAM	ACSM5	2.03E-304	3.53E-304
ENSG00000245848	MAM	CEBPA	2.03E-304	3.53E-304
ENSG00000173253	MAM	DMRT2	2.03E-304	3.53E-304
ENSG00000159387	MAM	IRX6	2.03E-304	3.53E-304
ENSG00000009950	MAM	MLXIPL	2.03E-304	3.53E-304
ENSG00000132170	MAM	PPARG	2.03E-304	3.53E-304
ENSG00000137713	MAM	PPP2R1B	2.03E-304	3.53E-304
ENSG00000117707	MAM	PROX1	2.03E-304	3.53E-304
ENSG00000181234	MAM	TMEM132C	2.03E-304	3.53E-304
ENSG00000248869	SF	RP11-138I17.1	2.03E-304	3.53E-304
ENSG00000162444	MAM	RBP7	2.04E-152	3.07E-152
