ensembl	tissue	gene	P	FDR
ENSG00000213096	BLOOD	ZNF254	8.11E-179	1.26E-178
ENSG00000197013	BLOOD	ZNF429	2.00E-91	2.78E-91
ENSG00000198496	BLOOD	NBR2	1.08E-84	1.49E-84
ENSG00000179943	BLOOD	FIZ1	2.79E-78	3.81E-78
ENSG00000159921	BLOOD	GNE	5.61E-67	7.46E-67
ENSG00000152784	BLOOD	PRDM8	1.57E-61	2.05E-61
ENSG00000196268	BLOOD	ZNF493	7.13E-57	9.22E-57
ENSG00000107020	BLOOD	PLGRKT	9.07E-16	1.02E-15
ENSG00000261556	BLOOD	SMG1P7	2.43E-12	2.68E-12
ENSG00000169598	BLOOD	DFFB	0.000029363	0.000030685
