ensembl	tissue	gene	P	FDR
ENSG00000140526	AOR	ABHD2	2.03E-304	3.53E-304
ENSG00000156218	AOR	ADAMTSL3	2.03E-304	3.53E-304
ENSG00000106624	AOR	AEBP1	2.03E-304	3.53E-304
ENSG00000185567	AOR	AHNAK2	2.03E-304	3.53E-304
ENSG00000170017	AOR	ALCAM	2.03E-304	3.53E-304
ENSG00000188070	AOR	C11orf95	2.03E-304	3.53E-304
ENSG00000122863	AOR	CHST3	2.03E-304	3.53E-304
ENSG00000050165	AOR	DKK3	2.03E-304	3.53E-304
ENSG00000106823	AOR	ECM2	2.03E-304	3.53E-304
ENSG00000086289	AOR	EPDR1	2.03E-304	3.53E-304
ENSG00000122176	AOR	FMOD	2.03E-304	3.53E-304
ENSG00000162998	AOR	FRZB	2.03E-304	3.53E-304
ENSG00000157240	AOR	FZD1	2.03E-304	3.53E-304
ENSG00000164574	AOR	GALNT10	2.03E-304	3.53E-304
ENSG00000136542	AOR	GALNT5	2.03E-304	3.53E-304
ENSG00000115457	AOR	IGFBP2	2.03E-304	3.53E-304
ENSG00000082781	AOR	ITGB5	2.03E-304	3.53E-304
ENSG00000198542	AOR	ITGBL1	2.03E-304	3.53E-304
ENSG00000072201	AOR	LNX1	2.03E-304	3.53E-304
ENSG00000138650	AOR	PCDH10	2.03E-304	3.53E-304
ENSG00000116260	AOR	QSOX1	2.03E-304	3.53E-304
ENSG00000185634	AOR	SHC4	2.03E-304	3.53E-304
ENSG00000141469	AOR	SLC14A1	2.03E-304	3.53E-304
ENSG00000114544	AOR	SLC41A3	2.03E-304	3.53E-304
ENSG00000121068	AOR	TBX2	2.03E-304	3.53E-304
ENSG00000164684	AOR	ZNF704	2.03E-304	3.53E-304
ENSG00000112562	AOR	SMOC2	9.66E-284	1.65E-283
ENSG00000136205	AOR	TNS3	2.33E-271	3.91E-271
ENSG00000183049	AOR	CAMK1D	2.50E-238	4.07E-238
ENSG00000127241	AOR	MASP1	1.53E-211	2.44E-211
ENSG00000197467	AOR	COL13A1	2.44E-138	3.63E-138
ENSG00000178662	AOR	CSRNP3	5.03E-42	6.25E-42
ENSG00000162687	AOR	KCNT2	6.20E-41	7.66E-41
ENSG00000115339	AOR	GALNT3	2.62E-40	3.23E-40
ENSG00000184613	AOR	NELL2	2.76E-35	3.34E-35
ENSG00000144724	AOR	PTPRG	7.22E-35	8.75E-35
ENSG00000078269	AOR	SYNJ2	3.72E-26	4.38E-26
ENSG00000000971	AOR	CFH	2.13E-21	2.46E-21
ENSG00000134824	AOR	FADS2	1.08E-17	1.22E-17
ENSG00000106536	AOR	POU6F2	3.33E-14	3.70E-14
ENSG00000170962	AOR	PDGFD	9.85E-07	1.04E-06
