ensembl	tissue	gene	P	FDR
ENSG00000053900	BLOOD	ANAPC4	2.03E-304	3.53E-304
ENSG00000082258	BLOOD	CCNT2	2.03E-304	3.53E-304
ENSG00000137504	BLOOD	CREBZF	2.03E-304	3.53E-304
ENSG00000109920	BLOOD	FNBP4	2.03E-304	3.53E-304
ENSG00000162601	BLOOD	MYSM1	2.03E-304	3.53E-304
ENSG00000206573	BLOOD	THUMPD3-AS1	2.03E-304	3.53E-304
ENSG00000010244	BLOOD	ZNF207	2.03E-304	3.53E-304
ENSG00000267680	BLOOD	ZNF224	2.03E-304	3.53E-304
ENSG00000197343	BLOOD	ZNF655	2.03E-304	3.53E-304
ENSG00000177853	BLOOD	ZNF518A	7.81E-297	1.35E-296
ENSG00000121310	BLOOD	ECHDC2	2.09E-130	3.07E-130
ENSG00000125447	BLOOD	GGA3	5.03E-121	7.30E-121
ENSG00000089775	BLOOD	ZBTB25	5.00E-117	7.22E-117
ENSG00000198040	BLOOD	ZNF84	8.94E-99	1.26E-98
ENSG00000172890	BLOOD	NADSYN1	6.20E-97	8.70E-97
ENSG00000141644	BLOOD	MBD1	1.06E-96	1.49E-96
ENSG00000236287	BLOOD	ZBED5	1.35E-93	1.88E-93
ENSG00000088448	BLOOD	ANKRD10	1.48E-82	2.03E-82
ENSG00000165792	BLOOD	METTL17	4.24E-76	5.76E-76
ENSG00000089335	BLOOD	ZNF302	1.55E-53	1.99E-53
ENSG00000196187	BLOOD	TMEM63A	2.42E-43	3.02E-43
ENSG00000169926	BLOOD	KLF13	1.31E-41	1.63E-41
ENSG00000184677	BLOOD	ZBTB40	3.17E-29	3.77E-29
ENSG00000108654	BLOOD	DDX5	5.34E-10	5.80E-10
ENSG00000156171	BLOOD	DRAM2	0.000010707	0.000011228
ENSG00000186812	BLOOD	ZNF397	0.00045478	0.00046936
ENSG00000158773	BLOOD	USF1	0.042075	0.04253
