ensembl	tissue	gene	P	FDR
ENSG00000164880	BLOOD	INTS1	2.03E-304	3.53E-304
ENSG00000175221	BLOOD	MED16	2.03E-304	3.53E-304
ENSG00000099817	BLOOD	POLR2E	2.03E-304	3.53E-304
ENSG00000185122	BLOOD	HSF1	6.51E-294	1.12E-293
ENSG00000014216	BLOOD	CAPN1	9.09E-292	1.56E-291
ENSG00000167967	BLOOD	E4F1	2.14E-212	3.41E-212
ENSG00000160446	BLOOD	ZDHHC12	3.35E-167	5.15E-167
ENSG00000071655	BLOOD	MBD3	2.35E-127	3.44E-127
ENSG00000167962	BLOOD	ZNF598	4.48E-111	6.40E-111
ENSG00000105325	BLOOD	FZR1	3.74E-70	5.01E-70
ENSG00000086504	BLOOD	MRPL28	3.58E-57	4.63E-57
ENSG00000110107	BLOOD	PRPF19	2.51E-30	2.99E-30
ENSG00000070423	BLOOD	RNF126	2.29E-21	2.65E-21
ENSG00000184990	BLOOD	SIVA1	4.34E-07	4.61E-07
