ensembl	tissue	gene	P	FDR
ENSG00000136250	SKLM	AOAH	2.03E-304	3.53E-304
ENSG00000123329	SKLM	ARHGAP9	2.03E-304	3.53E-304
ENSG00000168071	SKLM	CCDC88B	2.03E-304	3.53E-304
ENSG00000158869	SKLM	FCER1G	2.03E-304	3.53E-304
ENSG00000185811	SKLM	IKZF1	2.03E-304	3.53E-304
ENSG00000177663	SKLM	IL17RA	2.03E-304	3.53E-304
ENSG00000140968	SKLM	IRF8	2.03E-304	3.53E-304
ENSG00000090382	SKLM	LYZ	2.03E-304	3.53E-304
ENSG00000019169	SKLM	MARCO	2.03E-304	3.53E-304
ENSG00000166927	SKLM	MS4A7	2.03E-304	3.53E-304
ENSG00000169403	SKLM	PTAFR	2.03E-304	3.53E-304
ENSG00000105122	SKLM	RASAL3	2.03E-304	3.53E-304
ENSG00000020633	SKLM	RUNX3	2.03E-304	3.53E-304
