ensembl	tissue	gene	P	FDR
ENSG00000123843	VAF	C4BPB	2.03E-304	3.53E-304
ENSG00000177675	VAF	CD163L1	2.03E-304	3.53E-304
ENSG00000106066	VAF	CPVL	2.03E-304	3.53E-304
ENSG00000109861	VAF	CTSC	2.03E-304	3.53E-304
ENSG00000010704	VAF	HFE	2.03E-304	3.53E-304
ENSG00000107798	VAF	LIPA	2.03E-304	3.53E-304
ENSG00000271605	VAF	MILR1	2.03E-304	3.53E-304
ENSG00000110079	VAF	MS4A4A	2.03E-304	3.53E-304
ENSG00000197646	VAF	PDCD1LG2	2.03E-304	3.53E-304
ENSG00000140090	VAF	SLC24A4	2.03E-304	3.53E-304
ENSG00000109667	VAF	SLC2A9	2.03E-304	3.53E-304
ENSG00000172594	VAF	SMPDL3A	2.03E-304	3.53E-304
ENSG00000106868	VAF	SUSD1	2.03E-304	3.53E-304
ENSG00000156414	VAF	TDRD9	2.03E-304	3.53E-304
ENSG00000112299	VAF	VNN1	2.03E-304	3.53E-304
ENSG00000163106	VAF	HPGDS	2.14E-135	3.18E-135
ENSG00000109323	SF	MANBA	3.01E-37	3.68E-37
ENSG00000265975	SF	CTB-41I6.2	7.28E-32	8.73E-32
ENSG00000165495	SF	PKNOX2	1.97E-30	2.36E-30
ENSG00000174514	LIV	MFSD4	6.52E-28	7.72E-28
ENSG00000272908	SF	RP11-121A8.1	5.18E-19	5.90E-19
ENSG00000197083	LIV	ZNF300P1	2.66E-15	2.98E-15
ENSG00000100285	VAF	NEFH	0.000040396	0.000042168
