ensembl	tissue	gene	P	FDR
ENSG00000151632	VAF	AKR1C2	2.03E-304	3.53E-304
ENSG00000164111	VAF	ANXA5	2.03E-304	3.53E-304
ENSG00000233554	VAF	B4GALT1-AS1	2.03E-304	3.53E-304
ENSG00000198624	VAF	CCDC69	2.03E-304	3.53E-304
ENSG00000111328	VAF	CDK2AP1	2.03E-304	3.53E-304
ENSG00000186510	VAF	CLCNKA	2.03E-304	3.53E-304
ENSG00000170275	VAF	CRTAP	2.03E-304	3.53E-304
ENSG00000123243	VAF	ITIH5	2.03E-304	3.53E-304
ENSG00000182534	VAF	MXRA7	2.03E-304	3.53E-304
ENSG00000154328	VAF	NEIL2	2.03E-304	3.53E-304
ENSG00000171596	VAF	NMUR1	2.03E-304	3.53E-304
ENSG00000135437	VAF	RDH5	2.03E-304	3.53E-304
ENSG00000076344	VAF	RGS11	2.03E-304	3.53E-304
ENSG00000227591	VAF	RP1-28O10.1	2.03E-304	3.53E-304
ENSG00000203546	VAF	RP11-176H8.1	2.03E-304	3.53E-304
ENSG00000198208	VAF	RPS6KL1	2.03E-304	3.53E-304
ENSG00000116874	VAF	WARS2	2.03E-304	3.53E-304
ENSG00000225731	SF	AP001627.1	2.14E-28	2.53E-28
ENSG00000157429	SF	ZNF19	5.05E-19	5.76E-19
ENSG00000106686	SF	SPATA6L	1.54E-14	1.71E-14
