ensembl	tissue	gene	P	FDR
ENSG00000076108	SKLM	BAZ2A	2.03E-304	3.53E-304
ENSG00000099954	SKLM	CECR2	2.03E-304	3.53E-304
ENSG00000110925	SKLM	CSRNP2	2.03E-304	3.53E-304
ENSG00000101191	SKLM	DIDO1	2.03E-304	3.53E-304
ENSG00000197081	SKLM	IGF2R	2.03E-304	3.53E-304
ENSG00000123411	SKLM	IKZF4	2.03E-304	3.53E-304
ENSG00000149503	SKLM	INCENP	2.03E-304	3.53E-304
ENSG00000173120	SKLM	KDM2A	2.03E-304	3.53E-304
ENSG00000198793	SKLM	MTOR	2.03E-304	3.53E-304
ENSG00000173821	SKLM	RNF213	2.03E-304	3.53E-304
ENSG00000124782	SKLM	RREB1	2.03E-304	3.53E-304
ENSG00000196663	SKLM	TECPR2	2.03E-304	3.53E-304
ENSG00000100426	SKLM	ZBED4	2.03E-304	3.53E-304
ENSG00000109906	SKLM	ZBTB16	2.03E-304	3.53E-304
ENSG00000166860	SKLM	ZBTB39	2.03E-304	3.53E-304
ENSG00000174282	SKLM	ZBTB4	2.03E-304	3.53E-304
ENSG00000184677	SKLM	ZBTB40	2.03E-304	3.53E-304
ENSG00000063587	SKLM	ZNF275	2.03E-304	3.53E-304
ENSG00000101493	SKLM	ZNF516	2.03E-304	3.53E-304
ENSG00000180357	SKLM	ZNF609	2.03E-304	3.53E-304
ENSG00000148411	SKLM	NACC2	2.43E-109	3.47E-109
ENSG00000166377	SKLM	ATP9B	9.49E-19	1.08E-18
