ensembl	tissue	gene	P	FDR
ENSG00000162384	VAF	C1orf123	2.03E-304	3.53E-304
ENSG00000110871	VAF	COQ5	2.03E-304	3.53E-304
ENSG00000101457	VAF	DNTTIP1	2.03E-304	3.53E-304
ENSG00000182512	VAF	GLRX5	2.03E-304	3.53E-304
ENSG00000100577	VAF	GSTZ1	2.03E-304	3.53E-304
ENSG00000130414	VAF	NDUFA10	2.03E-304	3.53E-304
ENSG00000100347	VAF	SAMM50	2.03E-304	3.53E-304
ENSG00000124570	VAF	SERPINB6	2.03E-304	3.53E-304
ENSG00000183605	VAF	SFXN4	2.03E-304	3.53E-304
ENSG00000183172	VAF	SMDT1	2.03E-304	3.53E-304
ENSG00000091640	VAF	SPAG7	2.03E-304	3.53E-304
ENSG00000123297	VAF	TSFM	2.03E-304	3.53E-304
