ensembl	tissue	gene	P	FDR
ENSG00000108599	BLOOD	AKAP10	2.03E-304	3.53E-304
ENSG00000139641	BLOOD	ESYT1	2.03E-304	3.53E-304
ENSG00000157107	BLOOD	FCHO2	2.03E-304	3.53E-304
ENSG00000170802	BLOOD	FOXN2	2.03E-304	3.53E-304
ENSG00000159592	BLOOD	GPBP1L1	2.03E-304	3.53E-304
ENSG00000006652	BLOOD	IFRD1	2.03E-304	3.53E-304
ENSG00000164941	BLOOD	INTS8	2.03E-304	3.53E-304
ENSG00000068305	BLOOD	MEF2A	2.03E-304	3.53E-304
ENSG00000126368	BLOOD	NR1D1	2.03E-304	3.53E-304
ENSG00000015676	BLOOD	NUDCD3	2.03E-304	3.53E-304
ENSG00000115687	BLOOD	PASK	2.03E-304	3.53E-304
ENSG00000100105	BLOOD	PATZ1	2.03E-304	3.53E-304
ENSG00000247774	BLOOD	PCED1B-AS1	2.03E-304	3.53E-304
ENSG00000145725	BLOOD	PPIP5K2	2.03E-304	3.53E-304
ENSG00000196504	BLOOD	PRPF40A	2.03E-304	3.53E-304
ENSG00000187231	BLOOD	SESTD1	2.03E-304	3.53E-304
ENSG00000160408	BLOOD	ST6GALNAC6	2.03E-304	3.53E-304
ENSG00000129103	BLOOD	SUMF2	2.03E-304	3.53E-304
ENSG00000211751	BLOOD	TRBC1	2.03E-304	3.53E-304
ENSG00000179981	BLOOD	TSHZ1	2.03E-304	3.53E-304
ENSG00000160185	BLOOD	UBASH3A	2.03E-304	3.53E-304
ENSG00000071462	BLOOD	WBSCR22	2.03E-304	3.53E-304
ENSG00000109046	BLOOD	WSB1	1.01E-258	1.68E-258
ENSG00000139921	BLOOD	TMX1	2.15E-253	3.55E-253
ENSG00000183621	BLOOD	ZNF438	6.31E-197	9.93E-197
ENSG00000237765	BLOOD	FAM200B	3.30E-169	5.07E-169
ENSG00000085491	BLOOD	SLC25A24	1.77E-78	2.41E-78
ENSG00000136603	BLOOD	SKIL	3.54E-38	4.34E-38
