ensembl	tissue	gene	P	FDR
ENSG00000196843	SKLM	ARID5A	2.03E-304	3.53E-304
ENSG00000131778	SKLM	CHD1L	2.03E-304	3.53E-304
ENSG00000146592	SKLM	CREB5	2.03E-304	3.53E-304
ENSG00000077044	SKLM	DGKD	2.03E-304	3.53E-304
ENSG00000134775	SKLM	FHOD3	2.03E-304	3.53E-304
ENSG00000150667	SKLM	FSIP1	2.03E-304	3.53E-304
ENSG00000143167	SKLM	GPA33	2.03E-304	3.53E-304
ENSG00000006652	SKLM	IFRD1	2.03E-304	3.53E-304
ENSG00000081985	SKLM	IL12RB2	2.03E-304	3.53E-304
ENSG00000198517	SKLM	MAFK	2.03E-304	3.53E-304
ENSG00000248309	SKLM	MEF2C-AS1	2.03E-304	3.53E-304
ENSG00000087263	SKLM	OGFOD1	2.03E-304	3.53E-304
ENSG00000137393	SKLM	RNF144B	2.03E-304	3.53E-304
ENSG00000168826	SKLM	ZBTB49	2.03E-304	3.53E-304
ENSG00000144331	SKLM	ZNF385B	2.03E-304	3.53E-304
ENSG00000196391	SKLM	ZNF774	2.03E-304	3.53E-304
ENSG00000188211	MAM	NCR3LG1	0.00017697	0.00018324
ENSG00000057704	MAM	TMCC3	0.018176	0.018421
