ensembl	tissue	gene	P	FDR
ENSG00000122359	AOR	ANXA11	2.03E-304	3.53E-304
ENSG00000099889	AOR	ARVCF	2.03E-304	3.53E-304
ENSG00000065802	AOR	ASB1	2.03E-304	3.53E-304
ENSG00000141568	AOR	FOXK2	2.03E-304	3.53E-304
ENSG00000163820	AOR	FYCO1	2.03E-304	3.53E-304
ENSG00000143641	AOR	GALNT2	2.03E-304	3.53E-304
ENSG00000185122	AOR	HSF1	2.03E-304	3.53E-304
ENSG00000173641	AOR	HSPB7	2.03E-304	3.53E-304
ENSG00000123104	AOR	ITPR2	2.03E-304	3.53E-304
ENSG00000133424	AOR	LARGE	2.03E-304	3.53E-304
ENSG00000122367	AOR	LDB3	2.03E-304	3.53E-304
ENSG00000133454	AOR	MYO18B	2.03E-304	3.53E-304
ENSG00000148411	AOR	NACC2	2.03E-304	3.53E-304
ENSG00000182575	AOR	NXPH3	2.03E-304	3.53E-304
ENSG00000112511	AOR	PHF1	2.03E-304	3.53E-304
ENSG00000204231	AOR	RXRB	2.03E-304	3.53E-304
ENSG00000149212	AOR	SESN3	2.03E-304	3.53E-304
ENSG00000007866	AOR	TEAD3	2.03E-304	3.53E-304
ENSG00000068323	AOR	TFE3	2.03E-304	3.53E-304
ENSG00000140682	AOR	TGFB1I1	2.03E-304	3.53E-304
ENSG00000106018	AOR	VIPR2	2.03E-304	3.53E-304
ENSG00000142279	AOR	WTIP	2.03E-304	3.53E-304
ENSG00000198373	AOR	WWP2	2.03E-304	3.53E-304
ENSG00000174282	AOR	ZBTB4	2.03E-304	3.53E-304
ENSG00000114853	AOR	ZBTB47	2.03E-304	3.53E-304
ENSG00000160094	AOR	ZNF362	2.03E-304	3.53E-304
ENSG00000100302	AOR	RASD2	1.00E-219	1.61E-219
ENSG00000124225	AOR	PMEPA1	1.15E-189	1.80E-189
ENSG00000134917	AOR	ADAMTS8	3.54E-80	4.85E-80
