ensembl	tissue	gene	P	FDR
ENSG00000166260	MAM	COX11	2.03E-304	3.53E-304
ENSG00000108883	MAM	EFTUD2	2.03E-304	3.53E-304
ENSG00000149100	MAM	EIF3M	2.03E-304	3.53E-304
ENSG00000102034	MAM	ELF4	2.03E-304	3.53E-304
ENSG00000237765	MAM	FAM200B	2.03E-304	3.53E-304
ENSG00000105856	MAM	HBP1	2.03E-304	3.53E-304
ENSG00000120696	MAM	KBTBD7	2.03E-304	3.53E-304
ENSG00000127720	MAM	METTL25	2.03E-304	3.53E-304
ENSG00000120837	MAM	NFYB	2.03E-304	3.53E-304
ENSG00000113580	MAM	NR3C1	2.03E-304	3.53E-304
ENSG00000083544	MAM	TDRD3	2.03E-304	3.53E-304
ENSG00000117533	MAM	VAMP4	2.03E-304	3.53E-304
ENSG00000163848	MAM	ZNF148	2.03E-304	3.53E-304
ENSG00000159882	MAM	ZNF230	2.03E-304	3.53E-304
ENSG00000173258	MAM	ZNF483	2.03E-304	3.53E-304
ENSG00000197782	MAM	ZNF780A	2.03E-304	3.53E-304
ENSG00000205189	MAM	ZBTB10	6.31E-68	8.40E-68
