ensembl	tissue	gene	P	FDR
ENSG00000116985	BLOOD	BMP8B	2.03E-304	3.53E-304
ENSG00000115163	BLOOD	CENPA	2.03E-304	3.53E-304
ENSG00000165891	BLOOD	E2F7	2.03E-304	3.53E-304
ENSG00000129173	BLOOD	E2F8	2.03E-304	3.53E-304
ENSG00000111206	BLOOD	FOXM1	2.03E-304	3.53E-304
ENSG00000131153	BLOOD	GINS2	2.03E-304	3.53E-304
ENSG00000178445	BLOOD	GLDC	2.03E-304	3.53E-304
ENSG00000223648	BLOOD	IGHV3-64	2.03E-304	3.53E-304
ENSG00000211959	BLOOD	IGHV4-39	2.03E-304	3.53E-304
ENSG00000211679	BLOOD	IGLC3	2.03E-304	3.53E-304
ENSG00000211642	BLOOD	IGLV10-54	2.03E-304	3.53E-304
ENSG00000211673	BLOOD	IGLV3-1	2.03E-304	3.53E-304
ENSG00000211638	BLOOD	IGLV8-61	2.03E-304	3.53E-304
ENSG00000074695	BLOOD	LMAN1	2.03E-304	3.53E-304
ENSG00000128268	BLOOD	MGAT3	2.03E-304	3.53E-304
ENSG00000185155	BLOOD	MIXL1	2.03E-304	3.53E-304
ENSG00000101057	BLOOD	MYBL2	2.03E-304	3.53E-304
ENSG00000073282	BLOOD	TP63	2.03E-304	3.53E-304
ENSG00000100219	BLOOD	XBP1	2.03E-304	3.53E-304
ENSG00000211973	BLOOD	IGHV1-69	0.10263	0.10341
