ensembl	tissue	gene	P	FDR
ENSG00000267633	MAM	CTB-5E10.3	2.03E-304	3.53E-304
ENSG00000133740	MAM	E2F5	2.03E-304	3.53E-304
ENSG00000148826	MAM	NKX6-2	2.03E-304	3.53E-304
ENSG00000259481	MAM	RP11-39M21.1	2.03E-304	3.53E-304
ENSG00000255449	MAM	RP11-91P24.6	2.03E-304	3.53E-304
ENSG00000271670	MAM	RP11-95I16.4	2.03E-304	3.53E-304
ENSG00000267505	MAM	CTC-296K1.3	2.32E-267	3.89E-267
ENSG00000248971	AOR	KRT8P46	9.57E-169	1.47E-168
ENSG00000125863	AOR	MKKS	7.31E-164	1.12E-163
ENSG00000183098	AOR	GPC6	1.88E-163	2.87E-163
ENSG00000050344	MAM	NFE2L3	1.19E-139	1.77E-139
ENSG00000244405	LIV	ETV5	1.45E-138	2.15E-138
ENSG00000255443	MAM	RP1-68D18.4	2.00E-135	2.97E-135
ENSG00000257225	MAM	RP11-328C8.4	5.92E-133	8.74E-133
ENSG00000198099	SKLM	ADH4	9.10E-131	1.34E-130
ENSG00000159450	LIV	TCHH	8.37E-126	1.22E-125
ENSG00000121454	MAM	LHX4	1.95E-107	2.77E-107
ENSG00000143257	MAM	NR1I3	1.94E-96	2.72E-96
