ensembl	tissue	gene	P	FDR
ENSG00000237440	BLOOD	ZNF737	7.35E-95	1.03E-94
ENSG00000148429	BLOOD	USP6NL	1.34E-89	1.85E-89
ENSG00000250565	BLOOD	ATP6V1E2	2.03E-72	2.73E-72
ENSG00000049541	BLOOD	RFC2	2.36E-69	3.15E-69
ENSG00000028116	BLOOD	VRK2	2.95E-68	3.93E-68
ENSG00000171428	BLOOD	NAT1	4.04E-44	5.06E-44
ENSG00000267040	BLOOD	RP11-35G9.3	2.84E-43	3.54E-43
ENSG00000137168	BLOOD	PPIL1	3.32E-43	4.14E-43
ENSG00000112149	BLOOD	CD83	2.77E-41	3.43E-41
ENSG00000204104	BLOOD	TRAF3IP1	6.51E-36	7.91E-36
ENSG00000256294	BLOOD	ZNF225	2.72E-33	3.27E-33
ENSG00000091436	BLOOD	AC013461.1	2.71E-30	3.23E-30
ENSG00000101544	BLOOD	ADNP2	2.15E-27	2.53E-27
ENSG00000205208	BLOOD	C4orf46	1.17E-25	1.38E-25
ENSG00000141040	BLOOD	ZNF287	6.74E-24	7.87E-24
ENSG00000173276	BLOOD	ZBTB21	6.61E-22	7.66E-22
ENSG00000130254	BLOOD	SAFB2	3.50E-21	4.04E-21
ENSG00000148814	BLOOD	LRRC27	6.30E-12	6.93E-12
ENSG00000163607	BLOOD	GTPBP8	1.55E-10	1.69E-10
ENSG00000139131	BLOOD	YARS2	6.45E-07	6.85E-07
ENSG00000241015	BLOOD	TPM3P9	0.000016809	0.000017604
