ensembl	tissue	gene	P	FDR
ENSG00000116194	LIV	ANGPTL1	2.03E-304	3.53E-304
ENSG00000133313	LIV	CNDP2	2.03E-304	3.53E-304
ENSG00000184164	LIV	CRELD2	2.03E-304	3.53E-304
ENSG00000244038	LIV	DDOST	2.03E-304	3.53E-304
ENSG00000134285	LIV	FKBP11	2.03E-304	3.53E-304
ENSG00000143641	LIV	GALNT2	2.03E-304	3.53E-304
ENSG00000142230	LIV	SAE1	2.03E-304	3.53E-304
ENSG00000031698	LIV	SARS	2.03E-304	3.53E-304
ENSG00000184178	LIV	SCFD2	2.03E-304	3.53E-304
ENSG00000166562	LIV	SEC11C	2.03E-304	3.53E-304
ENSG00000197496	LIV	SLC2A10	2.03E-304	3.53E-304
ENSG00000153066	LIV	TXNDC11	2.03E-304	3.53E-304
ENSG00000163902	LIV	RPN1	7.24E-201	1.14E-200
