ensembl	tissue	gene	P	FDR
ENSG00000154175	LIV	ABI3BP	2.03E-304	3.53E-304
ENSG00000169594	LIV	BNC1	2.03E-304	3.53E-304
ENSG00000173068	LIV	BNC2	2.03E-304	3.53E-304
ENSG00000074410	LIV	CA12	2.03E-304	3.53E-304
ENSG00000182230	LIV	FAM153B	2.03E-304	3.53E-304
ENSG00000186081	LIV	KRT5	2.03E-304	3.53E-304
ENSG00000106511	LIV	MEOX2	2.03E-304	3.53E-304
ENSG00000243566	LIV	UPK3B	2.03E-304	3.53E-304
ENSG00000184937	LIV	WT1	2.03E-304	3.53E-304
ENSG00000143867	LIV	OSR1	9.89E-59	1.29E-58
ENSG00000101000	LIV	PROCR	1.29E-52	1.66E-52
ENSG00000128710	VAF	HOXD10	1.92E-08	2.06E-08
ENSG00000143355	LIV	LHX9	0.56911	0.5697
