ensembl	tissue	gene	P	FDR
ENSG00000119673	VAF	ACOT2	2.03E-304	3.53E-304
ENSG00000246022	VAF	ALDH1L1-AS2	2.03E-304	3.53E-304
ENSG00000130762	VAF	ARHGEF16	2.03E-304	3.53E-304
ENSG00000176720	VAF	BOK	2.03E-304	3.53E-304
ENSG00000176194	VAF	CIDEA	2.03E-304	3.53E-304
ENSG00000166347	VAF	CYB5A	2.03E-304	3.53E-304
ENSG00000174332	VAF	GLIS1	2.03E-304	3.53E-304
ENSG00000108788	VAF	MLX	2.03E-304	3.53E-304
ENSG00000009950	VAF	MLXIPL	2.03E-304	3.53E-304
ENSG00000139197	VAF	PEX5	2.03E-304	3.53E-304
ENSG00000138207	VAF	RBP4	2.03E-304	3.53E-304
ENSG00000010803	VAF	SCMH1	2.03E-304	3.53E-304
ENSG00000141295	VAF	SCRN2	2.03E-304	3.53E-304
ENSG00000006047	VAF	YBX2	2.03E-304	3.53E-304
ENSG00000126561	VAF	STAT5A	1.45E-143	2.17E-143
ENSG00000130876	VAF	SLC7A10	3.30E-09	3.56E-09
ENSG00000237310	VAF	GS1-124K5.4	2.9352E-06	3.0952E-06
ENSG00000166173	VAF	LARP6	0.002007	0.0020603
ENSG00000100033	VAF	PRODH	0.14305	0.14376
ENSG00000163485	VAF	ADORA1	0.69136	0.69172
