ensembl	tissue	gene	P	FDR
ENSG00000186222	BLOOD	BLOC1S4	2.03E-304	3.53E-304
ENSG00000185298	BLOOD	CCDC137	2.03E-304	3.53E-304
ENSG00000040531	BLOOD	CTNS	2.03E-304	3.53E-304
ENSG00000164535	BLOOD	DAGLB	2.03E-304	3.53E-304
ENSG00000257800	BLOOD	FNBP1P1	2.03E-304	3.53E-304
ENSG00000119431	BLOOD	HDHD3	2.03E-304	3.53E-304
ENSG00000204859	BLOOD	ZBTB48	2.03E-304	3.53E-304
ENSG00000167685	BLOOD	ZNF444	2.03E-304	3.53E-304
ENSG00000099910	BLOOD	KLHL22	2.87E-16	3.23E-16
ENSG00000122678	BLOOD	POLM	5.14E-13	5.69E-13
