ensembl	tissue	gene	P	FDR
ENSG00000147894	BLOOD	C9orf72	2.03E-304	3.53E-304
ENSG00000125817	BLOOD	CENPB	2.03E-304	3.53E-304
ENSG00000175550	BLOOD	DRAP1	2.03E-304	3.53E-304
ENSG00000132507	BLOOD	EIF5A	2.03E-304	3.53E-304
ENSG00000177463	BLOOD	NR2C2	2.03E-304	3.53E-304
ENSG00000101161	BLOOD	PRPF6	2.03E-304	3.53E-304
ENSG00000161016	BLOOD	RPL8	2.03E-304	3.53E-304
ENSG00000168286	BLOOD	THAP11	2.03E-304	3.53E-304
ENSG00000131634	BLOOD	TMEM204	2.03E-304	3.53E-304
ENSG00000144747	BLOOD	TMF1	2.03E-304	3.53E-304
ENSG00000185278	BLOOD	ZBTB37	2.03E-304	3.53E-304
ENSG00000131116	BLOOD	ZNF428	2.03E-304	3.53E-304
ENSG00000185219	BLOOD	ZNF445	2.03E-304	3.53E-304
ENSG00000170430	BLOOD	MGMT	2.85E-162	4.33E-162
ENSG00000185946	BLOOD	RNPC3	9.95E-142	1.49E-141
ENSG00000272578	BLOOD	AP000347.2	3.39E-129	4.97E-129
ENSG00000161912	BLOOD	ADCY10P1	2.31E-124	3.38E-124
ENSG00000176593	BLOOD	CTD-2368P22.1	5.63E-75	7.63E-75
ENSG00000128881	BLOOD	TTBK2	6.53E-73	8.79E-73
ENSG00000157191	BLOOD	NECAP2	2.40E-44	3.00E-44
ENSG00000109390	BLOOD	NDUFC1	2.32E-38	2.85E-38
ENSG00000214013	BLOOD	GANC	2.54E-21	2.93E-21
ENSG00000125445	BLOOD	MRPS7	8.35E-21	9.62E-21
ENSG00000163468	BLOOD	CCT3	9.60E-07	1.0169E-06
ENSG00000214026	BLOOD	MRPL23	0.000022955	0.000024022
ENSG00000223704	BLOOD	LINC01422	0.059113	0.059689
