ensembl	tissue	gene	P	FDR
ENSG00000168961	LIV	LGALS9	1.17E-255	1.93E-255
ENSG00000141574	LIV	SECTM1	1.09E-244	1.78E-244
ENSG00000204257	LIV	HLA-DMA	6.13E-234	9.93E-234
ENSG00000106605	LIV	BLVRA	5.37E-102	7.60E-102
ENSG00000196735	LIV	HLA-DQA1	5.26E-96	7.36E-96
ENSG00000204287	LIV	HLA-DRA	1.33E-79	1.82E-79
ENSG00000223865	LIV	HLA-DPB1	1.02E-67	1.35E-67
ENSG00000240065	LIV	PSMB9	5.21E-53	6.69E-53
ENSG00000234745	LIV	HLA-B	1.14E-43	1.42E-43
ENSG00000196126	LIV	HLA-DRB1	9.80E-42	1.22E-41
ENSG00000204252	LIV	HLA-DOA	2.06E-15	2.30E-15
ENSG00000231389	LIV	HLA-DPA1	1.30E-07	1.39E-07
