ensembl	tissue	gene	P	FDR
ENSG00000241945	BLOOD	PWP2	3.08E-272	5.18E-272
ENSG00000241945	LIV	PWP2	5.25E-237	8.53E-237
ENSG00000160221	BLOOD	C21orf33	3.49E-228	5.65E-228
ENSG00000160221	SKLM	C21orf33	3.99E-221	6.41E-221
ENSG00000160221	VAF	C21orf33	6.82E-202	1.08E-201
ENSG00000160221	SF	C21orf33	1.74E-196	2.73E-196
ENSG00000241945	SKLM	PWP2	7.55E-95	1.06E-94
ENSG00000241945	AOR	PWP2	6.17E-91	8.59E-91
ENSG00000160221	LIV	C21orf33	1.32E-79	1.81E-79
ENSG00000241945	VAF	PWP2	1.37E-60	1.79E-60
ENSG00000235098	LIV	ANKRD65	1.29E-19	1.47E-19
ENSG00000241945	SF	PWP2	6.54E-17	7.38E-17
