ensembl	tissue	gene	P	FDR
ENSG00000168306	VAF	ACOX2	2.03E-304	3.53E-304
ENSG00000153064	VAF	BANK1	2.03E-304	3.53E-304
ENSG00000151725	VAF	CENPU	2.03E-304	3.53E-304
ENSG00000269190	VAF	FBXO17	2.03E-304	3.53E-304
ENSG00000115339	VAF	GALNT3	2.03E-304	3.53E-304
ENSG00000127311	VAF	HELB	2.03E-304	3.53E-304
ENSG00000125871	VAF	MGME1	2.03E-304	3.53E-304
ENSG00000118513	VAF	MYB	2.03E-304	3.53E-304
ENSG00000050344	VAF	NFE2L3	2.03E-304	3.53E-304
ENSG00000136104	VAF	RNASEH2B	2.03E-304	3.53E-304
ENSG00000256594	VAF	RP11-705C15.2	2.03E-304	3.53E-304
ENSG00000135899	VAF	SP110	2.03E-304	3.53E-304
ENSG00000185404	VAF	SP140L	2.03E-304	3.53E-304
ENSG00000105967	VAF	TFEC	2.03E-304	3.53E-304
ENSG00000196511	VAF	TPK1	2.03E-304	3.53E-304
ENSG00000112343	VAF	TRIM38	2.03E-304	3.53E-304
ENSG00000187801	VAF	ZFP69B	2.03E-304	3.53E-304
ENSG00000171291	VAF	ZNF439	2.03E-304	3.53E-304
ENSG00000197385	VAF	ZNF860	2.03E-304	3.53E-304
ENSG00000196812	VAF	ZSCAN16	2.03E-304	3.53E-304
ENSG00000145949	LIV	MYLK4	2.06E-21	2.38E-21
ENSG00000178187	LIV	ZNF454	3.44E-21	3.97E-21
ENSG00000242474	LIV	AC093627.9	4.25E-19	4.85E-19
ENSG00000182612	LIV	TSPAN10	4.12E-18	4.68E-18
ENSG00000104804	LIV	TULP2	5.30E-11	5.80E-11
ENSG00000239556	LIV	AC004951.5	1.33E-08	1.43E-08
