ensembl	tissue	gene	P	FDR
ENSG00000228214	SKLM	LINC00693	3.68E-286	6.28E-286
ENSG00000148377	SKLM	IDI2	2.23E-279	3.78E-279
ENSG00000114854	SKLM	TNNC1	4.95E-279	8.38E-279
ENSG00000172458	SKLM	IL17D	9.20E-277	1.56E-276
ENSG00000188086	SKLM	PRSS45	1.25E-274	2.11E-274
ENSG00000160145	SKLM	KALRN	2.71E-265	4.53E-265
ENSG00000123836	SKLM	PFKFB2	1.18E-247	1.94E-247
ENSG00000264151	SKLM	RP11-739N10.1	7.83E-124	1.14E-123
ENSG00000159173	SKLM	TNNI1	1.31E-47	1.66E-47
ENSG00000150722	SKLM	PPP1R1C	6.82E-26	8.02E-26
