ensembl	tissue	gene	P	FDR
ENSG00000053254	VAF	FOXN3	2.03E-304	3.53E-304
ENSG00000140396	VAF	NCOA2	2.03E-304	3.53E-304
ENSG00000185129	VAF	PURA	2.03E-304	3.53E-304
ENSG00000134278	VAF	SPIRE1	2.03E-304	3.53E-304
ENSG00000104447	VAF	TRPS1	2.03E-304	3.53E-304
ENSG00000120008	VAF	WDR11	2.03E-304	3.53E-304
ENSG00000171467	VAF	ZNF318	2.03E-304	3.53E-304
ENSG00000074657	VAF	ZNF532	2.03E-304	3.53E-304
ENSG00000196110	VAF	ZNF699	2.03E-304	3.53E-304
ENSG00000072736	VAF	NFATC3	1.12E-260	1.87E-260
ENSG00000263001	VAF	GTF2I	6.38E-254	1.05E-253
ENSG00000140265	VAF	ZSCAN29	1.04E-251	1.71E-251
ENSG00000168813	VAF	ZNF507	4.31E-170	6.65E-170
ENSG00000186951	VAF	PPARA	5.53E-133	8.17E-133
ENSG00000186660	VAF	ZFP91	1.29E-132	1.90E-132
ENSG00000198815	VAF	FOXJ3	8.36E-128	1.22E-127
ENSG00000052841	VAF	TTC17	3.17E-124	4.62E-124
ENSG00000166454	VAF	ATMIN	2.38E-123	3.47E-123
ENSG00000102908	VAF	NFAT5	4.85E-118	7.02E-118
ENSG00000118058	VAF	KMT2A	2.73E-103	3.87E-103
ENSG00000177932	VAF	ZNF354C	8.70E-90	1.21E-89
ENSG00000174197	VAF	MGA	5.04E-89	6.99E-89
ENSG00000116539	VAF	ASH1L	1.78E-84	2.45E-84
ENSG00000171634	VAF	BPTF	1.17E-81	1.61E-81
ENSG00000081386	VAF	ZNF510	6.76E-81	9.27E-81
ENSG00000010818	VAF	HIVEP2	1.53E-75	2.07E-75
ENSG00000140575	VAF	IQGAP1	4.37E-60	5.71E-60
ENSG00000130856	VAF	ZNF236	3.81E-58	4.94E-58
ENSG00000120690	VAF	ELF1	1.46E-48	1.85E-48
ENSG00000159140	VAF	SON	4.33E-44	5.42E-44
ENSG00000197779	VAF	ZNF81	1.66E-43	2.07E-43
ENSG00000084676	VAF	NCOA1	3.22E-43	4.01E-43
ENSG00000140262	VAF	TCF12	3.29E-37	4.02E-37
ENSG00000176542	VAF	USF3	1.15E-36	1.40E-36
ENSG00000198146	VAF	ZNF770	1.21E-27	1.43E-27
ENSG00000124151	VAF	NCOA3	1.97E-23	2.29E-23
ENSG00000183309	VAF	ZNF623	3.42E-23	3.98E-23
ENSG00000177463	VAF	NR2C2	9.68E-23	1.12E-22
ENSG00000101126	VAF	ADNP	5.30E-22	6.15E-22
ENSG00000025293	VAF	PHF20	6.44E-17	7.27E-17
ENSG00000106771	VAF	TMEM245	4.89E-16	5.49E-16
ENSG00000198315	VAF	ZKSCAN8	6.87E-15	7.67E-15
ENSG00000172888	VAF	ZNF621	3.31E-12	3.64E-12
ENSG00000257315	VAF	ZBED6	3.75E-11	4.12E-11
ENSG00000185278	VAF	ZBTB37	2.56E-10	2.79E-10
ENSG00000106261	VAF	ZKSCAN1	1.26E-09	1.36E-09
ENSG00000185591	VAF	SP1	8.42E-09	9.05E-09
ENSG00000214029	VAF	ZNF891	5.6772E-06	5.9719E-06
ENSG00000116731	VAF	PRDM2	0.0047714	0.0048667
ENSG00000065060	VAF	UHRF1BP1	0.058324	0.058909
