ensembl	tissue	gene	P	FDR
ENSG00000141338	VAF	ABCA8	2.03E-304	3.53E-304
ENSG00000231312	VAF	AC007246.3	2.03E-304	3.53E-304
ENSG00000078124	VAF	ACER3	2.03E-304	3.53E-304
ENSG00000169083	VAF	AR	2.03E-304	3.53E-304
ENSG00000107779	VAF	BMPR1A	2.03E-304	3.53E-304
ENSG00000129596	VAF	CDO1	2.03E-304	3.53E-304
ENSG00000071967	VAF	CYBRD1	2.03E-304	3.53E-304
ENSG00000164330	VAF	EBF1	2.03E-304	3.53E-304
ENSG00000221818	VAF	EBF2	2.03E-304	3.53E-304
ENSG00000228223	VAF	HCG11	2.03E-304	3.53E-304
ENSG00000171385	VAF	KCND3	2.03E-304	3.53E-304
ENSG00000134962	VAF	KLB	2.03E-304	3.53E-304
ENSG00000251396	VAF	LINC01301	2.03E-304	3.53E-304
ENSG00000006432	VAF	MAP3K9	2.03E-304	3.53E-304
ENSG00000050393	VAF	MCUR1	2.03E-304	3.53E-304
ENSG00000008394	VAF	MGST1	2.03E-304	3.53E-304
ENSG00000166912	VAF	MTMR10	2.03E-304	3.53E-304
ENSG00000148053	VAF	NTRK2	2.03E-304	3.53E-304
ENSG00000185630	VAF	PBX1	2.03E-304	3.53E-304
ENSG00000174899	VAF	PQLC2L	2.03E-304	3.53E-304
ENSG00000113319	VAF	RASGRF2	2.03E-304	3.53E-304
ENSG00000273038	VAF	RP11-479G22.8	2.03E-304	3.53E-304
ENSG00000248429	VAF	RP11-597D13.9	2.03E-304	3.53E-304
ENSG00000261737	VAF	RP4-612B15.3	2.03E-304	3.53E-304
ENSG00000119042	VAF	SATB2	2.03E-304	3.53E-304
ENSG00000151090	VAF	THRB	2.03E-304	3.53E-304
ENSG00000182463	VAF	TSHZ2	2.03E-304	3.53E-304
ENSG00000179195	VAF	ZNF664	2.03E-304	3.53E-304
ENSG00000156398	VAF	SFXN2	1.14E-282	1.94E-282
ENSG00000148300	VAF	REXO4	3.15E-251	5.19E-251
ENSG00000185436	VAF	IFNLR1	1.17E-220	1.88E-220
ENSG00000156711	VAF	MAPK13	7.76E-186	1.21E-185
ENSG00000113231	VAF	PDE8B	0.00019523	0.00020203
