ensembl	tissue	gene	P	FDR
ENSG00000181409	BLOOD	AATK	2.03E-304	3.53E-304
ENSG00000064687	BLOOD	ABCA7	2.03E-304	3.53E-304
ENSG00000106948	BLOOD	AKNA	2.03E-304	3.53E-304
ENSG00000116017	BLOOD	ARID3A	2.03E-304	3.53E-304
ENSG00000182871	BLOOD	COL18A1	2.03E-304	3.53E-304
ENSG00000122547	BLOOD	EEPD1	2.03E-304	3.53E-304
ENSG00000180104	BLOOD	EXOC3	2.03E-304	3.53E-304
ENSG00000127084	BLOOD	FGD3	2.03E-304	3.53E-304
ENSG00000137312	BLOOD	FLOT1	2.03E-304	3.53E-304
ENSG00000136630	BLOOD	HLX	2.03E-304	3.53E-304
ENSG00000168918	BLOOD	INPP5D	2.03E-304	3.53E-304
ENSG00000047578	BLOOD	KIAA0556	2.03E-304	3.53E-304
ENSG00000129933	BLOOD	MAU2	2.03E-304	3.53E-304
ENSG00000163875	BLOOD	MEAF6	2.03E-304	3.53E-304
ENSG00000213347	BLOOD	MXD3	2.03E-304	3.53E-304
ENSG00000077150	BLOOD	NFKB2	2.03E-304	3.53E-304
ENSG00000120837	BLOOD	NFYB	2.03E-304	3.53E-304
ENSG00000066136	BLOOD	NFYC	2.03E-304	3.53E-304
ENSG00000124596	BLOOD	OARD1	2.03E-304	3.53E-304
ENSG00000116171	BLOOD	SCP2	2.03E-304	3.53E-304
ENSG00000073584	BLOOD	SMARCE1	2.03E-304	3.53E-304
ENSG00000125870	BLOOD	SNRPB2	2.03E-304	3.53E-304
ENSG00000143183	BLOOD	TMCO1	2.03E-304	3.53E-304
ENSG00000166716	BLOOD	ZNF592	2.03E-304	3.53E-304
ENSG00000188026	BLOOD	RILPL1	1.82E-259	3.04E-259
