ensembl	tissue	gene	P	FDR
ENSG00000115677	BLOOD	HDLBP	2.03E-304	3.53E-304
ENSG00000153814	BLOOD	JAZF1	2.03E-304	3.53E-304
ENSG00000049759	BLOOD	NEDD4L	2.03E-304	3.53E-304
ENSG00000125534	BLOOD	PPDPF	2.03E-304	3.53E-304
ENSG00000099785	BLOOD	MARCH2	2.97E-188	4.64E-188
ENSG00000141084	BLOOD	RANBP10	1.30E-144	1.95E-144
ENSG00000117592	BLOOD	PRDX6	2.85E-130	4.19E-130
ENSG00000162367	BLOOD	TAL1	2.46E-129	3.61E-129
ENSG00000185630	BLOOD	PBX1	1.98E-128	2.90E-128
ENSG00000119326	BLOOD	CTNNAL1	6.91E-114	9.92E-114
ENSG00000133193	BLOOD	FAM104A	5.42E-90	7.53E-90
ENSG00000119950	BLOOD	MXI1	3.91E-66	5.18E-66
ENSG00000111666	BLOOD	CHPT1	7.02E-59	9.14E-59
ENSG00000068323	BLOOD	TFE3	1.50E-55	1.93E-55
ENSG00000123405	BLOOD	NFE2	1.01E-51	1.29E-51
ENSG00000158195	BLOOD	WASF2	3.66E-47	4.62E-47
ENSG00000060138	BLOOD	YBX3	6.12E-47	7.71E-47
ENSG00000008441	BLOOD	NFIX	2.09E-38	2.56E-38
ENSG00000065978	BLOOD	YBX1	5.31E-37	6.48E-37
ENSG00000126432	BLOOD	PRDX5	1.43E-32	1.72E-32
ENSG00000198176	BLOOD	TFDP1	4.46E-31	5.33E-31
ENSG00000007968	BLOOD	E2F2	2.71E-29	3.22E-29
ENSG00000243064	BLOOD	ABCC13	3.95E-25	4.64E-25
ENSG00000137216	BLOOD	TMEM63B	3.96E-25	4.64E-25
ENSG00000170515	BLOOD	PA2G4	8.56E-25	1.00E-24
ENSG00000184481	BLOOD	FOXO4	8.45E-22	9.78E-22
ENSG00000102145	BLOOD	GATA1	1.71E-21	1.98E-21
ENSG00000104903	BLOOD	LYL1	1.28E-19	1.47E-19
ENSG00000119636	BLOOD	BBOF1	1.40E-18	1.59E-18
ENSG00000105610	BLOOD	KLF1	1.51E-15	1.69E-15
ENSG00000067836	BLOOD	ROGDI	7.64E-09	8.22E-09
ENSG00000211584	BLOOD	SLC48A1	7.69E-09	8.27E-09
ENSG00000162599	BLOOD	NFIA	4.6682E-06	4.9173E-06
ENSG00000110693	BLOOD	SOX6	0.000013719	0.000014376
