ensembl	tissue	gene	P	FDR
ENSG00000109956	BLOOD	B3GAT1	2.03E-304	3.53E-304
ENSG00000163508	BLOOD	EOMES	2.03E-304	3.53E-304
ENSG00000137441	BLOOD	FGFBP2	2.03E-304	3.53E-304
ENSG00000118922	BLOOD	KLF12	2.03E-304	3.53E-304
ENSG00000101096	BLOOD	NFATC2	2.03E-304	3.53E-304
ENSG00000069667	BLOOD	RORA	2.03E-304	3.53E-304
ENSG00000020633	BLOOD	RUNX3	2.03E-304	3.53E-304
ENSG00000073861	BLOOD	TBX21	2.03E-304	3.53E-304
ENSG00000167094	BLOOD	TTC16	2.03E-304	3.53E-304
ENSG00000138795	BLOOD	LEF1	4.87E-267	8.15E-267
ENSG00000161405	BLOOD	IKZF3	9.74E-243	1.59E-242
ENSG00000181754	BLOOD	AMIGO1	5.18E-242	8.46E-242
ENSG00000081059	BLOOD	TCF7	1.95E-228	3.15E-228
ENSG00000127152	BLOOD	BCL11B	5.14E-226	8.28E-226
ENSG00000138378	BLOOD	STAT4	2.70E-193	4.24E-193
ENSG00000185697	BLOOD	MYBL1	2.92E-187	4.56E-187
ENSG00000182568	BLOOD	SATB1	2.09E-178	3.23E-178
ENSG00000185129	BLOOD	PURA	6.94E-79	9.47E-79
ENSG00000001561	BLOOD	ENPP4	2.82E-78	3.84E-78
ENSG00000118058	BLOOD	KMT2A	5.21E-70	6.98E-70
ENSG00000158711	BLOOD	ELK4	1.35E-57	1.75E-57
ENSG00000197043	BLOOD	ANXA6	4.52E-29	5.37E-29
ENSG00000134744	BLOOD	ZCCHC11	2.67E-23	3.11E-23
ENSG00000198315	BLOOD	ZKSCAN8	3.57E-22	4.14E-22
ENSG00000152102	BLOOD	FAM168B	3.07E-20	3.52E-20
ENSG00000010818	BLOOD	HIVEP2	3.02E-10	3.29E-10
ENSG00000092201	BLOOD	SUPT16H	0.017448	0.017688
