ensembl	tissue	gene	P	FDR
ENSG00000170653	MAM	ATF7	2.03E-304	3.53E-304
ENSG00000076108	MAM	BAZ2A	2.03E-304	3.53E-304
ENSG00000151067	MAM	CACNA1C	2.03E-304	3.53E-304
ENSG00000198824	MAM	CHAMP1	2.03E-304	3.53E-304
ENSG00000143614	MAM	GATAD2B	2.03E-304	3.53E-304
ENSG00000105997	MAM	HOXA3	2.03E-304	3.53E-304
ENSG00000123411	MAM	IKZF4	2.03E-304	3.53E-304
ENSG00000173120	MAM	KDM2A	2.03E-304	3.53E-304
ENSG00000137764	MAM	MAP2K5	2.03E-304	3.53E-304
ENSG00000126003	MAM	PLAGL2	2.03E-304	3.53E-304
ENSG00000116731	MAM	PRDM2	2.03E-304	3.53E-304
ENSG00000124782	MAM	RREB1	2.03E-304	3.53E-304
ENSG00000152284	MAM	TCF7L1	2.03E-304	3.53E-304
ENSG00000148737	MAM	TCF7L2	2.03E-304	3.53E-304
ENSG00000055483	MAM	USP36	2.03E-304	3.53E-304
ENSG00000132846	MAM	ZBED3	2.03E-304	3.53E-304
ENSG00000140836	MAM	ZFHX3	2.03E-304	3.53E-304
ENSG00000126746	MAM	ZNF384	2.03E-304	3.53E-304
ENSG00000187792	MAM	ZNF70	2.03E-304	3.53E-304
ENSG00000065970	MAM	FOXJ2	1.02E-184	1.59E-184
ENSG00000151612	MAM	ZNF827	3.14E-49	3.99E-49
