ensembl	tissue	gene	P	FDR
ENSG00000132024	BLOOD	CC2D1A	2.03E-304	3.53E-304
ENSG00000204536	BLOOD	CCHCR1	2.03E-304	3.53E-304
ENSG00000167740	BLOOD	CYB5D2	2.03E-304	3.53E-304
ENSG00000004975	BLOOD	DVL2	2.03E-304	3.53E-304
ENSG00000105556	BLOOD	MIER2	2.03E-304	3.53E-304
ENSG00000090432	BLOOD	MUL1	2.03E-304	3.53E-304
ENSG00000160953	BLOOD	MUM1	2.03E-304	3.53E-304
ENSG00000019485	BLOOD	PRDM11	2.03E-304	3.53E-304
ENSG00000160439	BLOOD	RDH13	2.03E-304	3.53E-304
ENSG00000160190	BLOOD	SLC37A1	2.03E-304	3.53E-304
ENSG00000104976	BLOOD	SNAPC2	2.03E-304	3.53E-304
ENSG00000178307	BLOOD	TMEM11	2.03E-304	3.53E-304
ENSG00000099326	BLOOD	MZF1	2.55E-174	3.94E-174
ENSG00000032389	BLOOD	TSSC1	4.76E-174	7.36E-174
ENSG00000117480	BLOOD	FAAH	5.58E-115	8.02E-115
ENSG00000196700	BLOOD	ZNF512B	4.39E-62	5.77E-62
ENSG00000174851	BLOOD	YIF1A	4.03E-14	4.47E-14
