ensembl	tissue	gene	P	FDR
ENSG00000164916	VAF	FOXK1	1.33E-54	1.72E-54
ENSG00000115568	VAF	ZNF142	3.79E-52	4.84E-52
ENSG00000179979	SF	CRIPAK	1.02E-20	1.18E-20
ENSG00000068323	VAF	TFE3	1.88E-20	2.16E-20
ENSG00000121716	SKLM	PILRB	1.66E-19	1.89E-19
ENSG00000168026	SF	TTC21A	1.89E-12	2.08E-12
ENSG00000272333	VAF	KMT2B	1.53E-10	1.67E-10
ENSG00000114853	VAF	ZBTB47	7.08E-07	7.51E-07
ENSG00000131759	VAF	RARA	7.09E-07	7.52E-07
ENSG00000272752	SKLM	STAG3L5P-PVRIG2P-PILRB	0.000010274	0.000010778
ENSG00000173039	VAF	RELA	0.00025145	0.00025986
ENSG00000132024	VAF	CC2D1A	0.0032551	0.0033298
