ensembl	tissue	gene	P	FDR
ENSG00000123636	AOR	BAZ2B	2.03E-304	3.53E-304
ENSG00000102189	AOR	EEA1	2.03E-304	3.53E-304
ENSG00000135968	AOR	GCC2	2.03E-304	3.53E-304
ENSG00000133739	AOR	LRRCC1	2.03E-304	3.53E-304
ENSG00000080345	AOR	RIF1	2.03E-304	3.53E-304
ENSG00000144747	AOR	TMF1	2.03E-304	3.53E-304
ENSG00000075407	AOR	ZNF37A	2.03E-304	3.53E-304
ENSG00000075292	AOR	ZNF638	2.03E-304	3.53E-304
ENSG00000122482	AOR	ZNF644	2.03E-304	3.53E-304
ENSG00000165156	AOR	ZHX1	5.58E-200	8.82E-200
ENSG00000197579	AOR	TOPORS	8.66E-123	1.26E-122
ENSG00000167635	AOR	ZNF146	2.40E-117	3.46E-117
ENSG00000188994	AOR	ZNF292	2.38E-97	3.34E-97
ENSG00000096401	AOR	CDC5L	3.02E-89	4.19E-89
ENSG00000177853	AOR	ZNF518A	9.28E-69	1.24E-68
ENSG00000149311	AOR	ATM	1.75E-58	2.28E-58
ENSG00000162601	AOR	MYSM1	1.09E-52	1.40E-52
ENSG00000047188	AOR	YTHDC2	5.65E-47	7.13E-47
ENSG00000168724	AOR	DNAJC21	7.03E-47	8.86E-47
ENSG00000151422	AOR	FER	4.14E-25	4.85E-25
ENSG00000107581	AOR	EIF3A	1.95E-24	2.28E-24
ENSG00000089916	AOR	GPATCH2L	4.46E-15	4.98E-15
ENSG00000189180	AOR	ZNF33A	8.24E-15	9.19E-15
ENSG00000115816	AOR	CEBPZ	1.69E-14	1.88E-14
ENSG00000178980	AOR	SEPW1	8.16E-12	8.97E-12
ENSG00000170759	AOR	KIF5B	8.90E-11	9.73E-11
ENSG00000148516	AOR	ZEB1	2.25E-08	2.41E-08
ENSG00000138778	AOR	CENPE	5.34E-08	5.70E-08
ENSG00000023516	AOR	AKAP11	6.9657E-06	7.3173E-06
ENSG00000134900	AOR	TPP2	0.000043922	0.000045824
