ensembl	tissue	gene	P	FDR
ENSG00000162772	AOR	ATF3	2.03E-304	3.53E-304
ENSG00000134107	AOR	BHLHE40	2.03E-304	3.53E-304
ENSG00000221869	AOR	CEBPD	2.03E-304	3.53E-304
ENSG00000095794	AOR	CREM	2.03E-304	3.53E-304
ENSG00000120738	AOR	EGR1	2.03E-304	3.53E-304
ENSG00000179388	AOR	EGR3	2.03E-304	3.53E-304
ENSG00000170345	AOR	FOS	2.03E-304	3.53E-304
ENSG00000125740	AOR	FOSB	2.03E-304	3.53E-304
ENSG00000075426	AOR	FOSL2	2.03E-304	3.53E-304
ENSG00000125812	AOR	GZF1	2.03E-304	3.53E-304
ENSG00000177606	AOR	JUN	2.03E-304	3.53E-304
ENSG00000171223	AOR	JUNB	2.03E-304	3.53E-304
ENSG00000130522	AOR	JUND	2.03E-304	3.53E-304
ENSG00000127528	AOR	KLF2	2.03E-304	3.53E-304
ENSG00000136826	AOR	KLF4	2.03E-304	3.53E-304
ENSG00000059728	AOR	MXD1	2.03E-304	3.53E-304
ENSG00000136997	AOR	MYC	2.03E-304	3.53E-304
ENSG00000165030	AOR	NFIL3	2.03E-304	3.53E-304
ENSG00000153234	AOR	NR4A2	2.03E-304	3.53E-304
ENSG00000119508	AOR	NR4A3	2.03E-304	3.53E-304
ENSG00000162924	AOR	REL	2.03E-304	3.53E-304
ENSG00000177426	AOR	TGIF1	2.03E-304	3.53E-304
ENSG00000130844	AOR	ZNF331	2.03E-304	3.53E-304
ENSG00000198805	AOR	PNP	3.84E-162	5.84E-162
ENSG00000123358	AOR	NR4A1	9.14E-109	1.30E-108
ENSG00000060138	AOR	YBX3	1.04E-86	1.44E-86
ENSG00000144655	AOR	CSRNP1	5.95E-65	7.87E-65
ENSG00000197329	AOR	PELI1	8.46E-42	1.05E-41
ENSG00000131196	AOR	NFATC1	2.37E-13	2.63E-13
ENSG00000175592	AOR	FOSL1	0.000092437	0.000096075
ENSG00000204020	AOR	LIPN	0.0019272	0.0019789
ENSG00000122877	AOR	EGR2	0.0024214	0.0024829
ENSG00000067082	AOR	KLF6	0.0084555	0.0086038
