ensembl	tissue	gene	P	FDR
ENSG00000100336	BLOOD	APOL4	2.03E-304	3.53E-304
ENSG00000168062	BLOOD	BATF2	2.03E-304	3.53E-304
ENSG00000133106	BLOOD	EPSTI1	2.03E-304	3.53E-304
ENSG00000010030	BLOOD	ETV7	2.03E-304	3.53E-304
ENSG00000173193	BLOOD	PARP14	2.03E-304	3.53E-304
ENSG00000197646	BLOOD	PDCD1LG2	2.03E-304	3.53E-304
ENSG00000115415	BLOOD	STAT1	2.03E-304	3.53E-304
ENSG00000170581	BLOOD	STAT2	2.03E-304	3.53E-304
ENSG00000135148	BLOOD	TRAFD1	2.03E-304	3.53E-304
ENSG00000185880	BLOOD	TRIM69	7.76E-49	9.85E-49
ENSG00000125347	BLOOD	IRF1	3.59E-46	4.51E-46
ENSG00000154451	BLOOD	GBP5	2.74E-35	3.32E-35
