ensembl	tissue	gene	P	FDR
ENSG00000047617	MAM	ANO2	2.03E-304	3.53E-304
ENSG00000161940	MAM	BCL6B	2.03E-304	3.53E-304
ENSG00000107736	MAM	CDH23	2.03E-304	3.53E-304
ENSG00000160111	MAM	CPAMD8	2.03E-304	3.53E-304
ENSG00000158769	MAM	F11R	2.03E-304	3.53E-304
ENSG00000198734	MAM	F5	2.03E-304	3.53E-304
ENSG00000197245	MAM	FAM110D	2.03E-304	3.53E-304
ENSG00000179348	MAM	GATA2	2.03E-304	3.53E-304
ENSG00000152804	MAM	HHEX	2.03E-304	3.53E-304
ENSG00000117595	MAM	IRF6	2.03E-304	3.53E-304
ENSG00000101096	MAM	NFATC2	2.03E-304	3.53E-304
ENSG00000118946	MAM	PCDH17	2.03E-304	3.53E-304
ENSG00000117461	MAM	PIK3R3	2.03E-304	3.53E-304
ENSG00000164736	MAM	SOX17	2.03E-304	3.53E-304
ENSG00000171056	MAM	SOX7	2.03E-304	3.53E-304
ENSG00000148488	MAM	ST8SIA6	2.03E-304	3.53E-304
ENSG00000162367	MAM	TAL1	2.03E-304	3.53E-304
ENSG00000184058	MAM	TBX1	2.03E-304	3.53E-304
