ensembl	tissue	gene	P	FDR
ENSG00000159461	BLOOD	AMFR	2.03E-304	3.53E-304
ENSG00000006125	BLOOD	AP2B1	2.03E-304	3.53E-304
ENSG00000155096	BLOOD	AZIN1	2.03E-304	3.53E-304
ENSG00000110330	BLOOD	BIRC2	2.03E-304	3.53E-304
ENSG00000138756	BLOOD	BMP2K	2.03E-304	3.53E-304
ENSG00000121691	BLOOD	CAT	2.03E-304	3.53E-304
ENSG00000198087	BLOOD	CD2AP	2.03E-304	3.53E-304
ENSG00000167258	BLOOD	CDK12	2.03E-304	3.53E-304
ENSG00000111269	BLOOD	CREBL2	2.03E-304	3.53E-304
ENSG00000187097	BLOOD	ENTPD5	2.03E-304	3.53E-304
ENSG00000118689	BLOOD	FOXO3	2.03E-304	3.53E-304
ENSG00000205726	BLOOD	ITSN1	2.03E-304	3.53E-304
ENSG00000176407	BLOOD	KCMF1	2.03E-304	3.53E-304
ENSG00000038274	BLOOD	MAT2B	2.03E-304	3.53E-304
ENSG00000165434	BLOOD	PGM2L1	2.03E-304	3.53E-304
ENSG00000213639	BLOOD	PPP1CB	2.03E-304	3.53E-304
ENSG00000184007	BLOOD	PTP4A2	2.03E-304	3.53E-304
ENSG00000144566	BLOOD	RAB5A	2.03E-304	3.53E-304
ENSG00000175582	BLOOD	RAB6A	2.03E-304	3.53E-304
ENSG00000149212	BLOOD	SESN3	2.03E-304	3.53E-304
ENSG00000113558	BLOOD	SKP1	2.03E-304	3.53E-304
ENSG00000119048	BLOOD	UBE2B	2.03E-304	3.53E-304
ENSG00000186591	BLOOD	UBE2H	2.03E-304	3.53E-304
ENSG00000100811	BLOOD	YY1	2.03E-304	3.53E-304
ENSG00000196323	BLOOD	ZBTB44	2.03E-304	3.53E-304
ENSG00000141452	BLOOD	C18orf8	1.09E-08	1.17E-08
ENSG00000168291	BLOOD	PDHB	2.32E-08	2.48E-08
